time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.221,166.666667,231.43065927730942,-0.03037125214413946,-0.03037125214413946,-1.0168258361911475,-11.099664523410231,4.277291544019864,6.822372979390368,0.07265861414176322,1.3865491646951833,-1.390428253512785,-3.477978989771883,1.2541281541852045,0.0,-1.0,1.0,48.0,-48.0,0.0
0.2215,166.666667,231.9542580539549,-0.03196165482718448,-0.03196165482718448,-0.4916366568626265,-7.651856428824551,-1.662670641627024,9.314527070451575,0.06038915403610175,1.0946877997009052,-1.0979025782254745,-2.7460720973530397,4.555101703451026,0.0,-1.0,1.0,48.0,-48.0,0.0
0.222,166.666667,232.47785683060042,-0.03298567643236969,-0.03298567643236969,0.03298614138807725,-4.42907405163111,-7.134470320890088,11.563544372521198,0.02779530180031225,0.4880977785265032,-0.4895745853277165,-1.2244685742784134,7.5678904304321115,1.0,-1.0,0.0,48.0,0.0,-48.0
0.2225,166.666667,233.0014556072459,-0.033137313210312026,-0.033137313210312026,0.5567365548115201,1.3082852471070456,-9.40574605176641,8.097460804659365,-0.01351082934925261,-0.23616230365658678,0.23687994528796436,0.5924534262362158,6.957057764091607,1.0,-1.0,0.0,48.0,0.0,-48.0
0.223,166.666667,233.5250543838914,-0.03241984825548593,-0.03241984825548593,1.0796178665021594,6.671380345697833,-11.411302003000854,4.739921657303021,-0.05018926408416508,-0.8968423185574673,0.8995118222593088,2.249812552448634,6.295156646746898,1.0,0.0,-1.0,0.0,48.0,-48.0
0.2235,166.666667,234.0486531605369,-0.03098356087512592,-0.03098356087512592,1.6017803557673156,8.961031452438617,-7.743059236443948,-1.2179722159946695,-0.07104921800247917,-1.3288674164419272,1.3326564478915837,3.3333806226377685,2.408871721449723,1.0,0.0,-1.0,0.0,48.0,-48.0
0.224,166.666667,234.5722519371824,-0.02924375068576719,-0.02924375068576719,2.123639322223452,11.100577234771073,-4.276688707483615,-6.823888527287457,-0.06985894807968443,-1.3848505521115444,1.3885874534864326,3.4735469778925947,-1.2461227533297876,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2245,166.666667,235.0958507138279,-0.027654652219935603,-0.027654652219935603,2.6456490004031235,7.652004344485093,1.6634102749250934,-9.315414619410186,-0.05221058668758057,-1.094824962910792,1.0976251456009631,2.7458990480017693,-4.532392429259914,0.0,1.0,-1.0,-48.0,48.0,0.0
0.225,166.666667,235.6194494904734,-0.02662928923242306,-0.02662928923242306,-3.1149628931184687,4.428341914613087,7.135780482809487,-11.564122397422574,-0.022513963767131325,-0.4903816694960947,0.49159109684228064,1.2298562856157464,-7.548666618759537,-1.0,1.0,0.0,-48.0,0.0,48.0
0.2255,166.666667,236.14304826711887,-0.026474289691202357,-0.026474289691202357,-2.5915191160142066,-1.3091080192627764,9.407496692848369,-8.098388673585593,0.010655774637712657,0.23346166068920893,-0.23403421452117865,-0.5855078412518061,-6.964279529037256,-1.0,1.0,0.0,-48.0,0.0,48.0
