time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.1075,17.3958331875,6.156376188626341,-0.23111138476563298,6.052073922413953,0.1043022662123878,0.0,0.022082493705702404,-0.022082493705702404,-11.14682708927658,-25.440957693383723,25.431184185704616,63.4760503573848,-0.017697757603311146,0.0,-1.0,1.0,12.858059664562973,-48.0,35.14194033543703
0.108,17.466666519999997,6.21113807510977,-0.19937855660162968,6.083806750577956,0.12733132453181373,0.0,0.2611702193823639,-0.2611702193823639,-9.439122007287661,-25.347439388661872,25.431564179297524,63.44729036913467,-0.20902332352893305,0.0,-1.0,1.0,14.518815597394513,-48.0,33.4811844026055
0.1085,17.537499852499998,6.2661224910702105,-0.1676716471192142,6.115513660060372,0.15060883100983882,0.0,0.4756609934729112,-0.4756609934729112,-7.777191813423808,-25.257949678990105,25.408581641460867,63.37321184915394,-0.3802883256268765,0.0,-1.0,1.0,16.14749220534081,-48.0,31.852507794659186
0.109,17.608333185,6.321329436507663,-0.13601473013343773,6.147170577046149,0.17415885946151466,2.438760078148854,-0.5539616440576647,-1.884798434091189,-6.176785694198355,-25.169276704934735,25.352755130885853,63.23642678582016,-0.7733788911779781,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1095,17.6791665175,6.376758911422127,-0.10445240114200838,6.1787329060375775,0.1980260053845493,5.623288653857938,-1.9841954710742853,-3.639093182783653,-4.645228505882896,-25.065943686143722,25.247591998034956,62.999991251670124,-1.083556797024186,1.0,-1.0,0.0,48.0,-48.0,0.0
0.11,17.74999985,6.432410915813599,-0.07302354796205252,6.2101617592175336,0.2222491565960656,8.42704220015709,-3.2540641110681148,-5.172978089088975,-3.187718156568155,-24.962238061461427,25.111403449079386,62.71040496376278,-1.2045058916758007,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1105,17.8208331825,6.488285449682086,-0.04174363444557744,6.241441672734009,0.2468437769480767,10.88167612612695,-4.378773111298857,-6.502903014828092,-1.7961258529352913,-24.869092682520797,24.96271649299879,62.41073412342848,-1.169332020179029,1.0,-1.0,0.0,48.0,-48.0,0.0
0.111,17.891666514999997,6.544382513027582,-0.010608555787460677,6.272576751392125,0.27180576163545656,13.01572311002153,-5.369733668218951,-7.645989441802578,-0.45238715463978185,-24.79386531586764,24.818588844078597,62.136398712823585,-1.0060827815691207,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1115,17.9624998475,6.6007021058500905,0.02040185117954522,6.303587158359131,0.2971149474909591,14.853977442589839,-6.234746105323467,-8.619231337266372,0.8676722997360626,-24.741913155156777,24.694906538384952,61.916406967077805,-0.7381432982797023,1.0,-1.0,0.0,48.0,-48.0,0.0
0.112,18.03333318,6.657244228149611,0.05132087298646233,6.3345061801660485,0.3227380479835622,16.417259339844374,-6.97821245139369,-9.439046888450685,2.1910460957018425,-24.717681025058745,24.6064363228581,61.774391971979796,-0.3853555489886218,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1125,18.1041665125,6.714008879926141,0.08219242385224877,6.365377731031835,0.3486311488943059,17.722481193404505,-7.6014138048003055,-10.121067388604201,3.544861668704373,-24.725299589522606,24.566613908732712,61.72931796419213,0.03451557662738303,1.0,-1.0,0.0,48.0,-48.0,0.0
0.113,18.174999845,6.770996061179683,0.11306880921741844,6.396254116397005,0.3747419447826781,18.782941734239603,-8.10288289901743,-10.680058835222173,4.954221916991047,-24.76875813696143,24.587069659500223,61.795809054086654,0.5042713781249564,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1135,18.2458331775,6.828205771910237,0.14400856197257683,6.427193869152163,0.4010119027580741,19.608788796505262,-8.47889770793301,-11.129891088572252,6.440413295286004,-24.851746792514817,24.676899190972904,61.9841188866089,1.0059499708548545,1.0,-1.0,0.0,48.0,-48.0,0.0
