time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.0164,5.5642317243096455,-5.5642317243096455,0.0,-106.78787056422965,105.97932911384616,94.19681449814462,267.19676551524975,-4.430764721490262,-1.0,1.0,0.0
0.0166,4.6569988886512865,-4.6569988886512865,0.0,-106.62798243715126,102.08566593034553,100.61157964058157,266.7996190323903,-3.643105758617244,-1.0,1.0,0.0
0.016800000000000002,4.95883788500358,0.0,-4.95883788500358,-106.47086558105971,96.04392401691916,104.79474221090386,266.40557043808417,-3.932469947960711,-1.0,0.0,1.0
0.017,4.103239325791657,0.0,-4.103239325791657,-106.3226032007928,87.84786440140886,106.9920345319582,266.0166748785594,-3.290323851734496,-1.0,0.0,1.0
0.0172,5.633724726360488,0.0,-5.633724726360488,-106.18952248970021,77.77934037409618,107.65023446630302,265.60986816535143,-4.535653492708244,-1.0,0.0,1.0
0.017400000000000002,4.810222313372423,0.0,-4.810222313372423,-106.09135496155945,66.38040003235332,107.32939775630533,265.2028457799594,-3.8710039624235004,-1.0,0.0,1.0
0.0176,4.159757816806276,0.0,-4.159757816806276,-106.030636405026,54.324815422461135,106.56754932421671,264.8138870464478,-3.3395414975761275,1.0,0.0,-1.0
0.0178,5.459342481622807,0.0,-5.459342481622807,-105.96184403379799,42.26381196674041,105.76237294345538,264.4027333265299,-4.371645472759811,-1.0,0.0,1.0
0.018000000000000002,4.566164399411679,0.0,-4.566164399411679,-105.85041138452817,30.7134500996757,105.17457755805339,264.00262349407063,-3.64986824427334,-1.0,0.0,1.0
0.0182,5.858975354972188,0.0,-5.858975354972188,-105.64966858019565,19.929631723339938,104.88420274894088,263.61382119474524,-4.679241619099465,1.0,0.0,-1.0
0.0184,5.097884891889586,0.0,-5.097884891889586,-105.3265605131138,9.882283895185992,104.82945699686027,263.2021557046227,-4.070449893298361,-1.0,0.0,1.0
0.018600000000000002,4.165848898028641,0.0,-4.165848898028641,-104.92842874738695,0.3028855174698858,104.9118234391938,262.8113876759536,-3.3261982711775113,-1.0,0.0,1.0
0.0188,5.592411157734055,0.0,-5.592411157734055,-104.5262374881025,-9.219205033372383,104.99499838979213,262.40821728135666,-4.465290414474435,-1.0,0.0,1.0
0.019,4.6379206471912395,0.0,-4.6379206471912395,-104.24545994260434,-19.091488415750067,104.9981331510576,262.0064692750057,-3.7039359500813447,-1.0,0.0,1.0
0.019200000000000002,5.701103068474113,0.0,-5.701103068474113,-104.20413762480055,-29.585759567564242,104.89497681630566,261.61876309756855,-4.556613557991741,1.0,0.0,-1.0
0.0194,5.089805022389262,0.0,-5.089805022389262,-104.435961664467,-40.73201729670768,104.68756665252586,261.205989981211,-4.074937120715177,-1.0,0.0,1.0
0.0196,4.134470264715913,0.0,-4.134470264715913,-104.89037876121304,-52.301226216172914,104.43940826666555,260.8142869953231,-3.318329643504531,-1.0,0.0,1.0
0.0198,5.554530363314385,0.0,-5.554530363314385,-105.33250304369206,-63.82001767636267,104.18271518571191,260.40733663910214,-4.468993294319177,-1.0,0.0,1.0
0.02,4.603418975624312,0.0,-4.603418975624312,-105.40124439611537,-74.68792266171101,103.95448037532763,260.0031296110893,-3.7066942906034033,-1.0,0.0,1.0
0.020200000000000003,5.907299808284047,0.0,-5.907299808284047,-104.63046472256801,-84.29840674969829,103.76532616977242,259.6116792354242,-4.74191461343757,1.0,0.0,-1.0
0.0204,5.0004354306744245,0.0,-5.0004354306744245,-102.51730771526334,-92.15181935978458,103.59151039970749,259.19996510762337,-3.976211324907384,-1.0,0.0,1.0
0.0206,4.530785329982246,0.0,-4.530785329982246,-98.67423986615754,-97.99425709228369,103.43837151756591,258.818722421627,-3.5381090134971553,1.0,0.0,-1.0
0.020800000000000003,0.0,5.03698973724276,-5.03698973724276,-92.82086895238369,-101.76136287473253,103.24363655033596,258.3303714679902,-3.9972383902040685,0.0,-1.0,1.0
0.021,0.0,4.0652485877545335,-4.0652485877545335,-85.04686586379621,-103.76699296112362,103.09602620095355,257.9432736167748,-3.2602113818120664,0.0,1.0,-1.0
0.0212,0.0,5.348504333521791,-5.348504333521791,-75.57007492809183,-104.37225063578636,102.95890984722065,257.5308681154138,-4.3059366763773745,0.0,-1.0,1.0
0.021400000000000002,0.0,4.329239245279264,-4.329239245279264,-64.8782258408318,-104.0831322894561,102.85922250055954,257.13232537721586,-3.4842097840212887,0.0,-1.0,1.0
0.0216,0.0,5.6771145021146685,-5.6771145021146685,-53.557641943116735,-103.36463414011294,102.78659878180746,256.7306584166463,-4.558645863598068,0.0,-1.0,1.0
0.0218,0.0,4.611076964693936,-4.611076964693936,-42.19754568289834,-102.59100102323637,102.71647463847759,256.3262639752885,-3.693295244198843,0.0,-1.0,1.0
0.022000000000000002,0.0,5.9204960021019115,-5.9204960021019115,-31.26666554500451,-102.00077479845616,102.61349327967315,255.9343635189355,-4.733314977611225,0.0,-1.0,1.0
0.0222,0.0,4.810468694067039,-4.810468694067039,-21.01856962782185,-101.6692955118222,102.4231821057405,255.5257472376964,-3.8421978406762527,0.0,-1.0,1.0
0.0224,0.0,5.5313763385853125,-5.5313763385853125,-11.469544726257556,-101.58303163553347,102.13871545543269,255.1391955167184,-4.416654404009016,0.0,1.0,-1.0
0.022600000000000002,0.0,4.959283006939126,-4.959283006939126,-2.410666314302151,-101.62703042105781,101.75848306576472,254.72722420131703,-3.9597115073009634,0.0,-1.0,1.0
0.0228,0.0,4.882221251763536,-4.882221251763536,6.502397444878746,-101.71051079035679,101.36793430180977,254.34165260055755,-3.8981971307750185,0.0,1.0,-1.0
0.023,0.0,5.072063805343105,-5.072063805343105,15.641851654031344,-101.7255593503734,101.04675992029138,253.92916495811798,-4.0502403159079705,0.0,-1.0,1.0
0.023200000000000002,0.0,4.406066425332516,-4.406066425332516,25.292630926153603,-101.65205486369501,100.92226713434655,253.5425925139146,-3.520339166450248,0.0,1.0,-1.0
0.0234,0.0,5.158078278075043,-5.158078278075043,35.551044085086325,-101.47351398129105,101.04054055649254,253.13063681917708,-4.126657123935734,0.0,-1.0,1.0
0.0236,0.0,4.000849265998969,-4.000849265998969,46.29530257613183,-101.24344258524103,101.4000742277416,252.741305065956,-3.2078103153305193,0.0,-1.0,1.0
0.0238,0.0,5.247085890783569,-5.247085890783569,57.17459366132502,-100.98693247719021,101.839948428797,252.32950144772178,-4.217699709972036,0.0,-1.0,1.0
0.024,0.0,4.098083023390029,-4.098083023390029,67.70079965634007,-100.7538710000641,102.10202824939724,251.93585765755287,-3.2997300369950464,0.0,-1.0,1.0
0.024200000000000003,0.0,5.342803005946633,-5.342803005946633,77.31645632496756,-100.54492045500173,101.79027851568688,251.52565606122104,-4.297919847215436,0.0,-1.0,1.0
0.0244,0.0,4.156799006716122,-4.156799006716122,85.53824702096563,-100.36946378145444,100.4846981543081,251.1311413483891,-3.3245991570241893,0.0,-1.0,1.0
0.0246,0.0,5.321126493729111,-5.321126493729111,92.0173790851615,-100.20462702594979,97.76990872005658,250.72718694851693,-4.2015688847420645,0.0,-1.0,1.0
0.024800000000000003,-4.221189918751248,6.067900949843094,-1.8467110310918458,96.6224265841122,-100.04025182361131,93.35367262857461,250.31608193899936,-4.743175907533711,-1.0,-1.0,0.0
0.025,-5.455013307070257,5.455013307070257,0.0,99.44062616682253,-99.87253253988864,87.1225856903567,249.89224068025285,-4.350899131800187,1.0,-1.0,0.0
0.0252,-4.217913197008407,4.217913197008407,0.0,100.76670580480005,-99.72645736843319,79.19340684961828,249.496299571693,-3.3894801658785263,1.0,-1.0,0.0
0.025400000000000002,-5.41180136764437,5.41180136764437,0.0,100.98306742936482,-99.59920322671711,69.86224920599845,249.0892298832536,-4.357921886749455,1.0,-1.0,0.0
0.0256,-4.184963766940707,4.184963766940707,0.0,100.53335750326045,-99.50585552139502,59.59957364781746,248.69234540815123,-3.366234924125163,1.0,-1.0,0.0
0.0258,-5.353274844856667,5.353274844856667,0.0,99.80332075354917,-99.42946460793763,48.93086954402905,248.28491623402334,-4.295661107101206,1.0,-1.0,0.0
0.026000000000000002,-4.081311551376371,4.081311551376371,0.0,99.09918290582684,-99.35348469366933,38.35837476845091,247.8921110093109,-3.2673373968115387,1.0,-1.0,0.0
0.0262,-5.209678295193703,5.209678295193703,0.0,98.58024272144098,-99.22755165436766,28.24664845302711,247.48375321443265,-4.163970198427119,1.0,-1.0,0.0
0.0264,-4.463475888587505,4.463475888587505,0.0,98.3123455851462,-99.03083869432335,18.78095672353509,247.0962790258272,-3.5647503405602707,-1.0,1.0,0.0
0.026600000000000002,-5.003259411606918,5.003259411606918,0.0,98.23783590132243,-98.73092860011454,9.930081065717513,246.68489726949122,-3.9949175474159895,1.0,-1.0,0.0
0.0268,-5.512861043581534,5.512861043581534,0.0,98.28683792622749,-98.36847881396157,1.4923687688384428,246.298102895874,-4.401712485493681,-1.0,1.0,0.0
0.027,-4.757599324574066,4.757599324574066,0.0,98.34320628710734,-97.98526402321997,-6.844573636466065,245.8873895194379,-3.798699069393447,1.0,-1.0,0.0
0.027200000000000002,-5.8430444465352265,5.8430444465352265,0.0,98.35082459076192,-97.68828547870288,-15.40490985137194,245.49517830142995,-4.665937805053918,1.0,-1.0,0.0
0.0274,-4.478958557648966,4.478958557648966,0.0,98.26365518388697,-97.55794579436781,-24.428938744235015,245.0913339628575,-3.578571389256025,1.0,-1.0,0.0
0.027600000000000003,-5.55165928018619,5.55165928018619,0.0,98.09244626618101,-97.65823058442415,-34.00272829791419,244.69213995600495,-4.44125856243598,1.0,-1.0,0.0
0.027800000000000002,-4.186251400591129,4.186251400591129,0.0,97.86621124006444,-97.97224073878644,-44.01852504882256,244.2956552457525,-3.3558885566808176,1.0,-1.0,0.0
0.028,-5.26042509391983,5.26042509391983,0.0,97.61735493764506,-98.37580326278021,-54.18209474525775,243.88822164750022,-4.227376462338003,1.0,-1.0,0.0
0.028200000000000003,-4.435479708443002,4.435479708443002,0.0,97.38756797279099,-98.6499782697335,-64.07412848651131,243.4976031851297,-3.5709614677011134,-1.0,1.0,0.0
0.0284,-4.975979550789057,4.975979550789057,0.0,97.17532097701095,-98.45407510443246,-73.20551401212666,243.0830147889603,-4.004590264274955,1.0,-1.0,0.0
0.0286,-5.8335358195168014,5.8335358195168014,0.0,96.99879617821023,-97.4327005742273,-81.14705163968975,242.6926802850079,-4.673495300375874,-1.0,1.0,0.0
0.028800000000000003,-4.594587624555946,4.594587624555946,0.0,96.83079281835779,-95.2058331848736,-87.55937889870664,242.28482999688944,-3.6417018156161625,1.0,-1.0,0.0
0.029,-6.0710210682591965,4.987216776717468,1.083804291541728,96.67326339987467,-91.50344006095071,-92.29718736592417,241.89138085967838,-4.726439585976756,1.0,0.0,1.0
0.0292,-4.114430034024086,0.0,4.114430034024086,96.4916716889167,-86.1564247218139,-95.36199583534955,241.43551527023587,-3.2694795996188954,1.0,0.0,-1.0
0.029400000000000003,-5.108469461062388,0.0,5.108469461062388,96.3357886879894,-79.24164188456302,-96.99872688674458,241.0283460761542,-4.097623722110958,1.0,0.0,-1.0
0.0296,-5.425793127181019,0.0,5.425793127181019,96.20407609838206,-70.96146574223489,-97.51729261613987,240.6386728890695,-4.367926644292496,-1.0,0.0,1.0
0.0298,-4.6930714638848645,0.0,4.6930714638848645,96.08867518129627,-61.66739765684987,-97.2769818941913,240.2249285268426,-3.7776214686849867,1.0,0.0,-1.0
0.030000000000000002,-5.698223865486599,0.0,5.698223865486599,96.00392293048453,-51.820712868881145,-96.65832815046771,239.82706266246495,-4.5776011468436915,1.0,0.0,-1.0
0.0302,-4.225613699766712,0.0,4.225613699766712,95.92597343534159,-41.87225951829791,-95.95240570603234,239.42713597634588,-3.386432804629648,1.0,0.0,-1.0
0.0304,-5.188480257055981,0.0,5.188480257055981,95.82347088199735,-32.20277491668948,-95.35753352951409,239.02130990221127,-4.150001802429594,1.0,0.0,-1.0
0.030600000000000002,-5.388282003136208,0.0,5.388282003136208,95.67202022909981,-23.05819717644239,-94.97719604098538,238.63344084975347,-4.304810496308042,-1.0,0.0,1.0
0.0308,-4.611393680181163,0.0,4.611393680181163,95.431450079351,-14.505334899301289,-94.7985328831069,238.2237527252124,-3.6823588377684366,1.0,0.0,-1.0
0.031,-5.540664514528574,0.0,5.540664514528574,95.11500189064658,-6.4510076742677445,-94.77683452909997,237.8260929624144,-4.423934087904437,1.0,0.0,-1.0
0.031200000000000002,-4.02722559907099,0.0,4.02722559907099,94.75259512741889,1.3295398483304046,-94.82535212887213,237.43415482459022,-3.2155153194952,-1.0,0.0,1.0
0.031400000000000004,-4.902359415224537,0.0,4.902359415224537,94.39914623749806,9.120261113027126,-94.85592948077735,237.0251179669303,-3.9143378992262163,1.0,0.0,-1.0
0.0316,-5.80980586214495,0.0,5.80980586214495,94.14989302577841,17.18789378190274,-94.82897892814186,236.63239252256844,-4.639815142784023,1.0,0.0,-1.0
0.0318,-4.234271315770217,0.0,4.234271315770217,94.07034145080486,25.706470447296592,-94.71603859830961,236.23240969481157,-3.3838403243770365,1.0,0.0,-1.0
