time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,phase_a_power_W,phase_b_power_W,phase_c_power_W,electrical_conversion_power_W,speed_rad_s,electromagnetic_torque_Nm,mechanical_power_W,power_residual_W
0.024,0.0,4.098083023390029,-4.098083023390029,67.70079965634007,-100.7538710000641,102.10202824939724,0.0,-412.8977282861917,-418.422588622544,-831.3203169087358,251.93585765755287,-3.2997300369950464,-831.3203169087357,-1.1368683772161603e-13
0.024200000000000003,0.0,5.342803005946633,-5.342803005946633,77.31645632496756,-100.54492045500173,101.79027851568688,0.0,-537.1917032396484,-543.8454060297569,-1081.0371092694054,251.52565606122104,-4.297919847215436,-1081.0371092694054,0.0
0.0244,0.0,4.156799006716122,-4.156799006716122,85.53824702096563,-100.36946378145444,100.4846981543081,0.0,-417.21568735137964,-417.6946934779973,-834.9103808293769,251.1311413483891,-3.3245991570241893,-834.9103808293769,0.0
0.0246,0.0,5.321126493729111,-5.321126493729111,92.0173790851615,-100.20462702594979,97.76990872005658,0.0,-533.2014956620255,-520.24605157977,-1053.4475472417955,250.72718694851693,-4.2015688847420645,-1053.4475472417953,-2.2737367544323206e-13
0.024800000000000003,-4.221189918751248,6.067900949843094,-1.8467110310918458,96.6224265841122,-100.04025182361131,93.35367262857461,-407.861613022137,-607.0343390630334,-172.39725703612564,-1187.293209121296,250.31608193899936,-4.743175907533711,-1187.293209121296,0.0
0.025,-5.455013307070257,5.455013307070257,0.0,99.44062616682253,-99.87253253988864,87.1225856903567,-542.4499390034157,-544.8059940158998,0.0,-1087.2559330193155,249.89224068025285,-4.350899131800187,-1087.2559330193155,0.0
0.0252,-4.217913197008407,4.217913197008407,0.0,100.76670580480005,-99.72645736843319,79.19340684961828,-425.0252182331298,-420.63754062521065,0.0,-845.6627588583405,249.496299571693,-3.3894801658785263,-845.6627588583405,0.0
0.025400000000000002,-5.41180136764437,5.41180136764437,0.0,100.98306742936482,-99.59920322671711,69.86224920599845,-546.5003024231602,-539.0111042386371,0.0,-1085.5114066617973,249.0892298832536,-4.357921886749455,-1085.5114066617973,0.0
0.0256,-4.184963766940707,4.184963766940707,0.0,100.53335750326045,-99.50585552139502,59.59957364781746,-420.72845852004167,-416.4283999554751,0.0,-837.1568584755167,248.69234540815123,-3.366234924125163,-837.1568584755167,0.0
0.0258,-5.353274844856667,5.353274844856667,0.0,99.80332075354917,-99.42946460793763,48.93086954402905,-534.2746064231361,-532.2732517232388,0.0,-1066.547858146375,248.28491623402334,-4.295661107101206,-1066.547858146375,0.0
0.026000000000000002,-4.081311551376371,4.081311551376371,0.0,99.09918290582684,-99.35348469366933,38.35837476845091,-404.45463992551083,-405.49252474976805,0.0,-809.9471646752788,247.8921110093109,-3.2673373968115387,-809.9471646752788,0.0
0.0262,-5.209678295193703,5.209678295193703,0.0,98.58024272144098,-99.22755165436766,28.24664845302711,-513.571350840818,-516.9436221389711,0.0,-1030.514972979789,247.48375321443265,-4.163970198427119,-1030.5149729797893,2.2737367544323206e-13
0.0264,-4.463475888587505,4.463475888587505,0.0,98.3123455851462,-99.03083869432335,18.78095672353509,-438.8147840697823,-442.0217607387108,0.0,-880.836544808493,247.0962790258272,-3.5647503405602707,-880.8365448084932,1.1368683772161603e-13
