time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0164,5.206221924239281,-9.93788896136349,4.731667037124208,33.66644400205898,23.942202536153186,-33.20487983241707,-83.05054012708611,2.6462730580497844,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.6815724407302902
0.0166,4.394048199343778,-9.629898798797788,5.23585059945401,33.552686870011755,22.784744507645655,-33.09809718653233,-82.76982483960663,2.9633909810848493,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.6981550057243745
0.0168,3.585294834044536,-9.276309325294614,5.691014491250078,33.40431778905336,21.596932582011526,-32.980263104394496,-82.45876804223447,3.253342982511499,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7146783482189261
0.017,2.7809695874272684,-8.877641607557969,6.0966720201307005,33.227847589126874,20.38807256498745,-32.85234653770241,-82.12000628449867,3.5178072031686147,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7311366663671164
0.0172,1.9819542513872044,-8.434703196993867,6.452748945606663,33.02929865810709,19.167186204944713,-32.71516686205528,-81.755987124427,3.7588650953626166,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7475246674051801
0.0174,1.1890280701047242,-7.9485718984675495,6.759543828362825,32.8141020182298,17.942830135617463,-32.569382563882975,-81.36893490572913,3.978879117421971,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7638375262277974
0.0176,0.4028907978923568,-7.420574068102142,7.017683270209785,32.58702735418336,16.72294238213652,-32.4154893765518,-80.96082869492298,4.180372929486775,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7800708383391026
0.0178,-0.3758156310691758,-6.852258385886066,7.228074016955242,32.35214418341749,15.514718498455965,-32.25382723260464,-80.53339181962032,4.365920074163954,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.7962205695654064
0.018,-1.1464876571694953,-6.2453661218421646,7.39185377901166,32.11281123301202,14.324518024793655,-32.08459496111659,-80.0880919113323,4.538045883440352,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.8122830047481184
0.0182,-1.908543501151275,-5.601798940621896,7.5103424417731715,31.871690329464943,13.15780084281674,-31.907871323756144,-79.62614995006027,4.699145980752905,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.828254697373097
0.0184,-2.6614098339845835,-4.923585276658363,7.5849951106429465,31.630780678671684,12.019092158379431,-31.723640755197955,-79.14855654077837,4.851423358134902,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.8441324217631068
0.0186,-3.4045119145177214,-4.2128462684680015,7.617358182985723,31.39146925920927,10.911974224200494,-31.53182205152373,-78.65609352050454,4.996844696150626,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.8599131290907376
0.0188,-4.137267203697595,-3.471762173489838,7.609029377187433,31.154593114604832,9.839102481619147,-31.332298228082717,-78.14935898759991,5.137115429063886,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.8755939080862235
0.019,-4.859082290299977,-2.7025400998613076,7.5616223901612845,30.920509554575716,8.802243502906821,-31.124945836713216,-77.62879394500547,5.273672086681012,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.891171950941335
0.0192,-5.569352815419102,-1.907383793282033,7.4767366087011355,30.689170613784807,7.802331911311148,-30.9096621797169,-77.09470893538902,5.407689694104327,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.9066445245662175
0.0194,-6.2674659649928355,-1.0884661090273082,7.355932074020144,30.460198531053486,6.839543314350288,-30.68638907126177,-76.54730929599513,5.540101489975431,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.9220089470557769
0.0196,-6.952805013508527,-0.2479046839083175,7.200709697416845,30.23295947247865,5.913380189338386,-30.455132061274828,-75.98671795158367,5.671627926928612,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.9372625689763
0.0198,-7.318615643771015,0.0,7.318615643771015,30.00602424338518,5.0226697501999595,-30.215361200394355,-75.4114645803568,5.8444319580714295,1.0,0.0,-1.0,18.872661771295455,29.127338228704545,-48.0,-0.9524026852334486
0.02,-7.537541005215596,0.0,7.537541005215596,29.7770921895394,4.165761684833075,-29.96588134440833,-74.81815297249055,6.018794836477918,1.0,0.0,-1.0,19.739843737732457,28.260156262267543,-48.0,-0.9674259375899711
0.0202,-7.733750044039866,0.0,7.733750044039866,29.545765111804087,3.341005361291536,-29.70757136719749,-74.2083044993355,6.175191532749423,1.0,0.0,-1.0,20.578091511011763,27.421908488988237,-48.0,-0.9823288439944164
0.0204,-7.907478542147997,0.0,7.907478542147997,29.31174501133959,2.546405108677082,-29.44151191897978,-73.58370885384768,6.313763273071485,1.0,0.0,-1.0,21.388711437502824,26.611288562497176,-48.0,-0.9971082762781702
0.0206,-8.058984863161374,0.0,8.058984863161374,29.07476160898687,1.7797101875944092,-29.168859797503885,-72.94614065470702,6.434671650587489,1.0,0.0,-1.0,22.17324071814708,25.82675928185292,-48.0,-1.0117614627377416
0.0208,-8.18855324532663,0.0,8.18855324532663,28.83460347284874,1.0385207080969574,-28.890831728617442,-72.29735702238894,6.538106221648971,1.0,0.0,-1.0,22.933365164018692,25.066634835981308,-48.0,-1.0262859848901966
0.021,-8.296497326790941,0.0,8.296497326790941,28.59114076801061,0.320384404129577,-28.608685447611915,-71.63909444892187,6.6242909537218555,1.0,0.0,-1.0,23.670843256069773,24.329156743930227,-48.0,-1.0406797736712443
0.0212,-8.081345453359807,-0.6036366229951072,8.684982076354915,28.344364084710524,-0.37711828975642664,-28.32372294423419,-70.97312513279591,6.6901940788338985,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.0549411065854912
0.0214,-7.616631354840881,-1.6646343962393282,9.281265751080209,28.09480729181309,-1.0563246756613522,-28.03768279767506,-70.30229122205398,6.720329773261156,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.0690686983801188
0.0216,-7.1617606925739885,-2.665145277824856,9.826905970398844,27.84345065502613,-1.7194894212024756,-27.752617417089386,-69.6302504789712,6.7147224074254215,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.0830619431409596
0.0218,-6.716107467567511,-3.607567640388942,10.323675107956452,27.591313496014717,-2.368747304163382,-27.47046950970005,-68.96046159919874,6.67566605694441,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.0969209491938952
0.022,-6.279201339790385,-4.494159527243383,10.773360867033768,27.339436951968484,-3.006071722163136,-27.193046079762855,-68.29615891667004,6.605357737757496,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.1106464940060685
0.0222,-5.850716954504042,-5.327046898622232,11.177763853126274,27.08887714511993,-3.6332474715144367,-26.92200832285465,-67.6403609960223,6.505919219251657,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.12423998020915
0.0224,-5.430462473723495,-6.108232598655834,11.53869507237933,26.840695530405238,-4.25185592412594,-26.658863265749297,-66.99587719027544,6.37941582392987,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.1377033931325926
0.0226,-5.01836753358103,-6.83960559547269,11.85797312905372,26.595947504615037,-4.863270404491009,-26.40495732040572,-66.36531248489996,6.227871864301921,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.1510392594714443
0.0228,-4.614470840369164,-7.522950140139556,12.13742098050872,26.355670204793142,-5.468659572500783,-26.16147179419684,-65.75107097137811,6.053282617255197,1.0,-1.0,0.0,48.0,0.0,-48.0,-1.1642506067801535
