time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0094,18.553164512219713,-15.278261526075388,-3.2749029861443253,23.360641614907443,-28.190721400278424,28.356846618596926,70.53281389244728,10.93467106901111,1.0,-1.0,0.0,48.0,-48.0,0.0,0.426246657686957,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0096,18.062167653437808,-14.561088806344381,-3.5010788470934253,24.346269372500814,-28.61950882940077,28.662716107620206,71.60781081058892,10.559283563857884,1.0,-1.0,0.0,48.0,-48.0,0.0,0.4404613458479738,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0098,17.53603741630511,-13.814747865861303,-3.7212895504438057,25.30594886267686,-29.03289126524352,28.913698410671415,72.64350356039449,10.14890332738506,1.0,-1.0,0.0,48.0,-48.0,0.0,0.4548871613125083,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,16.976119422890164,-13.042806038882572,-3.933313384007593,26.232352277710703,-29.42944280294482,29.103210784497815,73.63649687466618,9.7057035730683,1.0,-1.0,0.0,48.0,-48.0,0.0,0.4695159000980756,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0102,16.38393790767136,-12.249115806864303,-4.134822100807055,27.11843597795209,-29.807831946618027,29.224856852201256,74.58364057100232,9.232410316853263,1.0,-1.0,0.0,48.0,-48.0,0.0,0.48433870275521373,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0104,15.761177108883107,-11.437786877416645,-4.323390231466462,27.957631861597548,-30.166851608267958,29.272604108137266,75.48208367592409,8.732275051558315,1.0,-1.0,0.0,48.0,-48.0,0.0,0.4993461088423624,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0106,15.109657928555432,-10.613149033401454,-4.496508895153979,28.744033360196152,-30.50544797550172,29.24097012465411,76.32932454278404,8.209021876442389,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5145281218675698,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0108,14.431310614637283,-9.779706218016086,-4.651604396621198,29.472566630256264,-30.822746427190882,29.125209489855685,77.123254416132,7.666769517222901,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5298742836403224,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.011,13.728144479722303,-8.942082808832007,-4.786061670890295,30.139137692979787,-31.11807265045994,28.921492560537274,77.86219202835537,7.1099304785126405,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5453737564776401,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0112,13.002215883147349,-8.10496350813497,-4.897252375012378,30.740747180169357,-31.39096724424367,28.627066745861296,78.54490712971342,6.543091378107257,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5610154112542526,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0114,12.255595845512564,-7.27302870027231,-4.982567145240254,31.27556594508179,-31.641192390424052,28.24039133552006,79.17063134148293,5.970880140552968,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5767879189130216,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0116,11.490338721103207,-6.450887462237412,-5.039451258865795,31.74296698290748,-31.868729620890562,27.76123787432265,79.73905535689372,5.397826998518616,1.0,-1.0,0.0,48.0,-48.0,0.0,0.5926798427911213,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0118,10.708453315771132,-5.643010630322035,-5.0654426854490975,32.1435116965681,-32.07376827663842,27.19074971085935,80.25031225230784,4.828227014173477,1.0,-1.0,0.0,48.0,-48.0,0.0,0.6086797289949004,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.012,9.911877705713472,-4.853666401803605,-5.058211303909866,32.478891309875365,-32.25668489607035,26.531456485676124,80.70494745538603,4.266011987425569,1.0,-1.0,0.0,48.0,-48.0,0.0,0.6247761920870135,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0122,9.102458795262779,-4.086860877048204,-5.015597918214574,32.75182692144344,-32.41801442615763,25.787241790248814,81.10387668445668,3.714639126614462,1.0,-1.0,0.0,48.0,-48.0,0.0,0.640957993536346,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0124,8.281937366154963,-3.346285728319715,-4.935651637835248,32.965934070669896,-32.558414760664704,24.963264803560765,81.44833386049001,3.1770027545342083,1.0,-1.0,0.0,48.0,-48.0,0.0,0.6572141107146301,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0126,7.451939039572279,-2.6352748341294974,-4.816664205442782,33.12555955517596,-32.678626617013165,24.065839174862983,81.73981154342343,2.6553737104202995,1.0,-1.0,0.0,48.0,-48.0,0.0,0.6735337946816803,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0128,6.613971221689861,-1.9567712700071136,-4.657199951682748,33.23559946541496,-32.77943112133833,23.102274570338015,81.97999681453895,2.151369142542574,1.0,-1.0,0.0,48.0,-48.0,0.0,0.6899066155517827,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.013,5.769425760076681,-1.3133055332804333,-4.456120226796247,33.301307930817046,-32.861607649679186,22.080687987624287,82.17070569005799,1.6659532550716485,1.0,-1.0,0.0,48.0,-48.0,0.0,0.706322494838037,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0132,4.919586726527136,-0.7069853391739075,-4.212601387353229,33.32810592228725,-32.92589446025206,21.009793078554033,82.31381910148845,1.1994674744189344,1.0,-1.0,0.0,48.0,-48.0,0.0,0.7227717247870058,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0134,4.065642481858058,-0.13949679571077156,-3.9261456861472865,33.321398711526975,-32.972954453762306,19.898676286812776,82.41122322813905,0.7516866169178329,1.0,-1.0,0.0,48.0,-48.0,0.0,0.7392449753012714,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
