time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0414,-8.516983074245054,10.513298282717267,-1.996315208472212,25.998769410532294,25.01555566698186,-26.872473919747954,67.23905549577562,1.416005134031701,0.0,1.0,-1.0,0.0,48.0,-48.0,2.5976314207372315,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0416,-8.413398208835797,10.149597098485339,-1.7361988896495424,25.761697777048155,25.428002312757613,-26.926910293634908,67.37527289837267,1.3074682227444674,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6110930345169674,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0418,-8.292768555658455,9.770303896341671,-1.4775353406832168,25.483249138388768,25.802353654503637,-26.97691866488045,67.50040155929196,1.194504005043807,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6245807902820033,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.042,-8.154396077522687,9.376744662588504,-1.2223485850658158,25.162544762907707,26.13841233895985,-27.02235470381365,67.61408070557212,1.0787486622454054,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6380924314785426,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0422,-7.99756807897684,8.970195994053462,-0.9726279150766217,24.799135916852666,26.43640115627299,-27.063156157446485,67.71611157832186,0.9617992171307954,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6516256456649065,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0424,-7.821570096658345,8.55187541815453,-0.7303053214961859,24.393017043605436,26.69695319733723,-27.099339960879085,67.80645142453442,0.8451720461825709,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6651780963827183,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0426,-7.625699078389433,8.122932950750071,-0.4972338723606387,23.944629492333526,26.921092298181428,-27.130996766870656,67.88520347241646,0.7302642799112476,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6787474534199816,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0428,-7.409276562258293,7.684444129823192,-0.2751675675648996,23.454855758247962,27.110204529815448,-27.15828307949613,67.95260324934627,0.6183194712461435,0.0,1.0,-1.0,0.0,48.0,-48.0,2.6923314206963753,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.043,-7.171661565100275,7.2374047114353655,-0.0657431463350904,22.92500454288347,27.266001817336818,-27.181411276109394,68.00900173060738,0.5103987217967016,0.0,1.0,-1.0,0.0,48.0,-48.0,2.7059277610861123,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0432,-6.912262898753676,6.782727156147058,0.12953574260661763,22.35678725839357,27.390479031199522,-27.20063788662019,68.05484591401569,0.40735820708903125,0.0,1.0,-1.0,0.0,48.0,-48.0,2.71953431760245,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0434,-6.630550651375602,6.321238972225482,0.30931167915012053,21.75228686641837,27.485866074553023,-27.21625056605166,68.09065749539305,0.30983375073837444,0.0,1.0,-1.0,0.0,48.0,-48.0,2.733149030495468,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0436,-6.32606659852575,5.853682919451044,0.4723836790747056,21.11392014623079,27.55457658825344,-27.22855424254171,68.1170103691937,0.21823278233743773,0.0,1.0,-1.0,0.0,48.0,-48.0,2.7467699499551377,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0438,-5.998433342768893,5.380719017021072,0.6177143257478207,20.44439462117223,27.599154910849318,-27.237856946972684,68.13450769602825,0.1327336937060644,0.0,1.0,-1.0,0.0,48.0,-48.0,2.760395244258869,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.044,-5.647362019056751,4.902928243396419,0.7444337756603321,19.746661435717453,27.622222871661194,-27.244455832311658,68.14375926476563,0.05329230124281681,0.0,1.0,-1.0,0.0,48.0,-48.0,2.7740232033501586,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0442,-5.272658443917249,4.420817766931302,0.8518406769859467,19.023865472662603,27.626427872687998,-27.24862387188424,68.14535983348026,-0.020345155610069554,0.0,1.0,-1.0,0.0,48.0,-48.0,2.7876522379766553,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0444,-4.874227627430649,3.934827505210229,0.9394001222204198,18.279293940677675,27.61439354415552,-27.25059768856702,68.13986906432991,-0.0886232856105445,0.0,1.0,-1.0,0.0,48.0,-48.0,2.8012808746462343,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
