time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.00068,5.4816971683446996,-5.4816971683446996,0.0,2.2397130851060357e-05,-0.15091402957667355,0.15091280158367365,0.3780186475657124,2.1887485927235297,1.0,-1.0,0.0,48.0,-24.226358617806593,-23.77364138219341
0.0007000000000000001,5.634976582289644,-5.634976582289644,0.0,2.584862873630798e-05,-0.15977437933121913,0.15977296209907108,0.400212444255906,2.249981366953977,1.0,-1.0,0.0,48.0,-24.239647227450313,-23.76035277254968
0.00072,5.787806149825131,-5.787806149825131,0.0,2.9710444011654448e-05,-0.1688788434959024,0.16887721452769439,0.4230176878919576,2.3110380374950052,1.0,-1.0,0.0,48.0,-24.253301781053647,-23.746698218946356
0.0007400000000000001,5.940186239776878,-5.940186239776878,0.0,3.401766360355624e-05,-0.1782267206567672,0.17822485553184514,0.4464326191129824,2.371918940347744,1.0,-1.0,0.0,48.0,-24.26732120702843,-23.732678792971573
0.00076,6.092117222301455,-6.092117222301455,0.0,3.8807256951191474e-05,-0.18781731080238595,0.18781518307314107,0.47045548194198217,2.4326244162781774,1.0,-1.0,0.0,48.0,-24.281704434845864,-23.71829556515414
0.0007800000000000001,6.243599468871,-6.243599468871,0.0,4.411811852902719e-05,-0.19764991534392443,0.1976474964302497,0.4950845238331854,2.493154810755173,1.0,-1.0,0.0,48.0,-24.296450395042946,-23.703549604957054
0.0008,6.394633352257746,-6.394633352257746,0.0,4.9991109882773395e-05,-0.20772383713494488,0.20772109621638732,0.5203179957187652,2.5535104738887093,1.0,-1.0,0.0,48.0,-24.31155801922892,-23.68844198077108
0.0008200000000000001,6.545219246518377,-6.545219246518377,0.0,5.646910118223096e-05,-0.218038380490951,0.21803528439658632,0.5461541520549446,2.6136917603683307,1.0,-1.0,0.0,48.0,-24.32702624009147,-23.67297375990853
0.00084,6.69535752697821,-6.69535752697821,0.0,6.359701229455366e-05,-0.2285928512086726,0.22858936430472868,0.5725912508674829,2.6736990294018073,1.0,-1.0,0.0,48.0,-24.342853991402922,-23.657146008597085
0.0008600000000000001,6.845048570215222,-6.845048570215222,0.0,7.142185338146336e-05,-0.23938655658509506,0.23938264066035037,0.5996275537965547,2.7335326446540273,1.0,-1.0,0.0,48.0,-24.359040208026208,-23.640959791973792
0.00088,6.994292754043888,-6.994292754043888,0.0,7.999276502397055e-05,-0.25041880543622996,0.25041441958521266,0.6272613261410143,2.7931929741860935,1.0,-1.0,0.0,48.0,-24.375583825920813,-23.624416174079183
0.0009000000000000001,7.143090457498886,-7.143090457498886,0.0,8.936105787816857e-05,-0.2616889081156323,0.2616840086196465,0.6554908369020563,2.8526803903946547,1.0,-1.0,0.0,48.0,-24.392483782148524,-23.607516217851472
0.00092,7.291442060818616,-7.291442060818616,0.0,9.958025186568257e-05,-0.2731961765326604,0.27319071673866496,0.6843143588262665,2.911995269951451,1.0,-1.0,0.0,48.0,-24.409739014879072,-23.590260985120935
0.0009400000000000001,7.43934794542859,-7.43934794542859,0.0,0.00011070611490236869,-0.2849399241704853,0.28493385436785024,0.7137301684480731,2.9711379937430866,1.0,-1.0,0.0,48.0,-24.427348463395646,-23.572651536604354
0.0009600000000000001,7.586808493924647,-7.586808493924647,0.0,0.00012279670116887122,-0.2969194661038446,0.2969127333990117,0.7437365461315943,3.0301089468110236,1.0,-1.0,0.0,48.0,-24.445311068100345,-23.55468893189965
0.0009800000000000002,7.733824090056024,-7.733824090056024,0.0,0.00013591238892665818,-0.3091341190165472,0.3091266672056175,0.7743317761118881,3.088908518291809,1.0,-1.0,0.0,48.0,-24.463625770519428,-23.536374229480572
0.001,7.880395118708287,-7.880395118708287,0.0,0.00015011591788316656,-0.3215832012187248,0.32157497065800117,0.8055141465356047,3.147537101357516,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00102,7.746369143668853,-7.969107702666773,0.2227385589979199,0.00016553889308926204,-0.33439774664916233,0.3343886704794169,0.8376118714871691,3.271939340701612,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0010400000000000001,7.61270880302398,-8.057486318597405,0.44477751557342504,0.00018233592141857964,-0.3477081489272848,0.34769815181264085,0.8709515595541018,3.395929441549486,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0010600000000000002,7.479413092215056,-8.145528393232286,0.6661153010172306,0.00020061006754924814,-0.3615127621455964,0.36150176309951465,0.9055290808732547,3.5195057090936395,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00108,7.346481008914904,-8.233231371689,0.8867503627740951,0.00022046991289991904,-0.37580993379177474,0.37579784587461434,0.9413402886584556,3.642666453552942,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0011,7.213911552994668,-8.320592717454366,1.106681164459697,0.00024202973444317438,-0.39059800477382944,0.39058473478061034,0.9783810192512551,3.765409990268738,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0011200000000000001,7.08170372648997,-8.407609912367692,1.3259061858777221,0.0002654096808920958,-0.4058753094455693,0.4058607575840808,1.0166470921726263,3.8877346398003754,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0011400000000000002,6.949856533566287,-8.494280456603493,1.5444239230372054,0.00029073594625336763,-0.42164017563237777,0.42162423519177883,1.0561343101756229,4.009638728020157,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00116,6.818368980483624,-8.5806018686537,1.7622328881700764,0.0003181409407405108,-0.43789092465729257,0.4378734816673492,1.0968384592989775,4.131120586207723,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00118,6.687240075560432,-8.666571685309357,1.9793316097489257,0.00034776345904108255,-0.45462587136739097,0.4546068042484979,1.1387553089216504,4.252178551143852,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0012000000000000001,6.556468829136849,-8.752187461641798,2.1957186325049496,0.00037974884593190375,-0.4718433241604701,0.47182250336460196,1.1818806118183018,4.372810965203669,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0012200000000000002,6.426054253537231,-8.837446770983338,2.4113925174461066,0.0004142491592366269,-0.4895415850120285,0.4895188726547686,1.2262101042157012,4.49301617644929,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00124,6.295995363032024,-8.922347204907464,2.62635184187544,0.0004514233301201907,-0.5077189495025409,0.5076941989863352,1.271739505850058,4.612792538721873,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00126,6.16629117379895,-9.006886373208534,2.840595199409585,0.0004914373207149574,-0.5263737068450268,0.5263467624738104,1.3184645200252711,4.732138411733091,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00128,6.036940703883568,-9.091061903880979,3.0541211999974105,0.0005344642790735685,-0.5455041399129064,0.5454748364982517,1.3663808336720864,4.85105216115601,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0013000000000000002,5.9079429731592095,-9.174871443098056,3.266928469938846,0.0005806846914438232,-0.5651085252681456,0.5650766877270811,1.415484117408164,4.969532158715392,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0013200000000000002,5.779297003286253,-9.25831265519008,3.4790156519038273,0.0006302865318611171,-0.5851851331896851,0.5851505761343341,1.4657700255990442,5.087576782277395,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00134,5.6510018176708465,-9.341383222622223,3.690381404951377,0.0006834654090542556,-0.6057322277021521,0.6056947550213398,1.5172341964200067,5.205184415938691,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00136,5.523056441423015,-9.424080845971847,3.9010244045488323,0.0007404247106607045,-0.6267480666048493,0.6267074710378323,1.5698722519188217,5.322353450114981,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0013800000000000002,5.395459901314199,-9.506403243905346,4.110943342591147,0.000801375744747604,-0.6482309015010245,0.6481869642034898,1.623679798079377,5.439082281628943,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0014000000000000002,5.268211225734235,-9.588348153154564,4.32013692742033,0.0008665378786351582,-0.6701789778274085,0.6701314679298939,1.678652424886185,5.555369313797529,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00142,5.141309444647783,-9.66991332849275,4.528603883844967,0.0009361386750192517,-0.6925905348840317,0.6925392090429232,1.7347857063897616,5.6712129565187235,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00144,5.01475358955023,-9.751096542710075,4.736342953159845,0.0010104140253904546,-0.7154638058643049,0.7154084078055568,1.792075200772868,5.786611626357667,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0014600000000000001,4.888542693423091,-9.831895586588704,4.943352893165613,0.001089608280746812,-0.7387970178853664,0.7387372779411039,1.8505164504176073,5.901563746632179,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0014800000000000002,4.762675790688896,-9.912308268877458,5.149632478188562,0.001173974379598144,-0.762588392018695,0.7625240266568463,1.910104981973379,6.016067747497685,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0015,4.6371519171655775,-9.992332416266002,5.355180499100425,0.001263773973259819,-0.7868361433209807,0.7867668546680994,1.970836306425676,6.130122066031527,0.0,-1.0,1.0,0.0,-48.0,48.0
0.00152,4.5119701100204,-10.07196587335866,5.559995763338261,0.0013592775484342868,-0.8115384808652598,0.8114639562226845,2.0327059191657253,6.243725146316686,0.0,-1.0,1.0,0.0,-48.0,48.0
0.0015400000000000001,4.3871294077234415,-10.15120650264778,5.764077094924338,0.0014607645470789139,-0.8366936077722963,0.8366135191258084,2.095709300060956,6.356875439524862,0.0,-1.0,1.0,0.0,-48.0,48.0
