time_s,phase_cmd_a,phase_cmd_b,phase_cmd_c,ia_A,ib_A,ic_A,vab_V,vbc_V,vca_V,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm
0.00076,0.0,1.0,-1.0,0.0,6.067455504319058,-6.067455504319058,-23.999841047965074,48.0,-24.000158952034923,0.00015471078872843617,0.3748414154889943,-0.3748498979813749,-0.9389400383005484,-4.8445252102456005
0.0007700000000000001,0.0,1.0,-1.0,0.0,6.142285100312935,-6.142285100312935,-23.999830463891055,48.0,-24.000169536108945,0.00016501245321461693,0.38457099103042197,-0.3845800383418699,-0.9633120779200127,-4.9042724739885015
0.0007800000000000001,0.0,1.0,-1.0,0.0,6.216978087710103,-6.216978087710103,-23.999819327733526,48.0,-24.00018067226647,0.00017585147033383498,0.39441970516380476,-0.3944293467560783,-0.987982581249795,-4.963910663377215
0.00079,0.0,1.0,-1.0,0.0,6.291534234133286,-6.291534234133286,-23.999807618516844,48.0,-24.000192381483156,0.0001872482560588864,0.40438733941966365,-0.40439760587385554,-1.0129510024539123,-5.023439592871434
0.0008,0.0,1.0,-1.0,0.0,6.365953308289875,-6.365953308289875,-23.99979531476336,48.0,-24.00020468523664,0.00019922371497711161,0.4144736749456313,-0.414484597988955,-1.0382167947708463,-5.082859077796893
0.0008100000000000001,0.0,1.0,-1.0,0.0,6.440235079971751,-6.440235079971751,-23.999782394488655,48.0,-24.00021760551135,0.00021179924492691242,0.42467849250805484,-0.4246901050408847,-1.0637794105178713,-5.142168934345239
0.0008200000000000001,0.0,1.0,-1.0,0.0,6.514379320055095,-6.514379320055095,-23.999768835196825,48.0,-24.00023116480318,0.00022499674159211827,0.43500157249359733,-0.4350139086167599,-1.0896383010953845,-5.201368979573861
0.0008300000000000001,0.0,1.0,-1.0,0.0,6.588385800500188,-6.588385800500188,-23.999754613875787,48.0,-24.000245386124206,0.00023883860305419063,0.44544269491084204,-0.44545578995315693,-1.115792916991234,-5.260459031405749
0.00084,0.0,1.0,-1.0,0.0,6.662254294351209,-6.662254294351209,-23.999739706992663,48.0,-24.000260293007333,0.0002533477343022591,0.45600163939189664,-0.4560155299379635,-1.1422427077850466,-5.319438908629326
0.0008500000000000001,0.0,1.0,-1.0,0.0,6.735984575736038,-6.735984575736038,-23.999724090489185,48.0,-24.000275909510812,0.00026854755170098107,0.46667818519399734,-0.4666929091122289,-1.1689871221525547,-5.378308430898283
0.0008600000000000001,0.0,1.0,-1.0,0.0,6.8095764198660325,-6.8095764198660325,-23.999707739777136,48.0,-24.00029226022287,0.0002844619874162211,0.4774721112011162,-0.4774877076720118,-1.1960256078699218,-5.437067418731417
0.0008700000000000001,0.0,1.0,-1.0,0.0,6.883029603035815,-6.883029603035815,-23.99969062973387,48.0,-24.00030937026613,0.000301115493798545,0.4883831959255666,-0.4883997054702266,-1.2233576118180678,-5.495715693512443
0.00088,0.0,1.0,-1.0,0.0,6.9563439026230425,-6.9563439026230425,-23.999672734697832,48.0,-24.00032726530217,0.0003185330477245279,0.4994112175096116,-0.4994286820184887,-1.2509825799869922,-5.554253077489825
0.0008900000000000001,0.0,1.0,-1.0,0.0,7.029519097088187,-7.029519097088187,-23.999654028464157,48.0,-24.00034597153584,0.00033674015489587323,0.5105559537270719,-0.5105744164889583,-1.2788999574800999,-5.61267939377659
0.0009000000000000001,0.0,1.0,-1.0,0.0,7.102554965974286,-7.102554965974286,-23.999634484280282,48.0,-24.000365515719718,0.00035576285409634186,0.5218171819849357,-0.5218366877161819,-1.307109188518521,-5.670994466350138
0.0009100000000000001,0.0,1.0,-1.0,0.0,7.175451289906713,-7.175451289906713,-23.999614074841613,48.0,-24.00038592515838,0.00037562772140649564,0.5331946793249678,-0.5332152741989329,-1.3356097164454337,-5.72919812005205
0.00092,0.0,1.0,-1.0,0.0,7.24820785059292,-7.24820785059292,-23.999592772287258,48.0,-24.00040722771275,0.00039636187437625556,0.5446882224253207,-0.5447099541020503,-1.3644009837303832,-5.787290180587888
0.00093,0.0,1.0,-1.0,0.0,7.320824430822197,-7.320824430822197,-23.99957054819578,48.0,-24.00042945180422,0.0004179929761552792,0.5562975876021465,-0.5563205052582759,-1.393482431973603,-5.845270474527
0.0009400000000000001,0.0,1.0,-1.0,0.0,7.393300814465396,-7.393300814465396,-23.99954737358098,48.0,-24.000452626419026,0.00044054923958116284,0.5680225508112089,-0.5680467051700909,-1.422853501910332,-5.9031388293023035
0.0009500000000000001,0.0,1.0,-1.0,0.0,7.465636786474682,-7.465636786474682,-23.99952321888775,48.0,-24.00047678111225,0.0004640594312254739,0.5798628876494966,-0.5798883310115485,-1.4525136334151325,-5.960895073210084
0.0009600000000000001,0.0,1.0,-1.0,0.0,7.537832132883255,-7.537832132883255,-23.999498053987967,48.0,-24.00050194601203,0.0004885528753976229,0.5918183733568364,-0.591845159630107,-1.482462265506205,-6.018539035409772
0.00097,0.0,1.0,-1.0,0.0,7.609886640805075,-7.609886640805075,-23.99947184817642,48.0,-24.000528151823584,0.0005140594581065839,0.6038887828175086,-0.603916967548461,-1.5126988363497056,-6.076070545923727
0.0009800000000000002,0.0,1.0,-1.0,0.0,7.681800098434585,-7.681800098434585,-23.999444570166762,48.0,-24.000555429833238,0.0005406096309804735,0.6160738905618623,-0.6161035309663709,-1.5432227832640601,-6.13348943563701
