time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,speed_rpm,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.1705,-4.157633058378584,0.0,4.157633058378584,-51.43370967573801,21.21701144888005,51.37580490544786,128.3530480942095,1225.681323906313,3.330222716836883,-1.0,0.0,1.0
0.171,-5.082461629534304,0.0,5.082461629534304,-51.26401945627219,14.389233883320173,50.92476926248725,127.85768492958006,1220.950954129728,4.0620991840868665,1.0,0.0,-1.0
0.1715,-5.791785835414047,0.0,5.791785835414047,-51.02187137255651,8.142920033622122,50.67496260204378,127.351391065716,1216.1162038642644,4.625047889870354,-1.0,0.0,1.0
0.17200000000000001,-5.165059550000706,0.0,5.165059550000706,-50.70441700356699,2.407721734918774,50.575275185156926,126.8461305452425,1211.2913213013119,4.1240173359006755,-1.0,0.0,1.0
0.17250000000000001,-4.554007860897722,0.0,4.554007860897722,-50.357984777927285,-3.104943925458106,50.522064620508004,126.34533002565453,1206.509028609587,3.6361339028117743,-1.0,0.0,1.0
0.17300000000000001,-4.08553483265914,0.0,4.08553483265914,-50.07310758673676,-8.747258152605053,50.428659118558734,125.8486789473824,1201.7663601636511,3.2626760332537263,1.0,0.0,-1.0
0.17350000000000002,-5.278321294698811,0.0,5.278321294698811,-49.94203981936106,-14.764821915003067,50.25806565495453,125.34958135916285,1197.000329268628,4.2193068753913785,1.0,0.0,-1.0
0.17400000000000002,-5.783484454890595,0.0,5.783484454890595,-49.99871490017969,-21.175597231577687,50.02400706070528,124.84511537581675,1192.1830339763533,4.633580223425204,-1.0,0.0,1.0
0.17450000000000002,-5.222790611786309,0.0,5.222790611786309,-50.16261058419118,-27.741849499146614,49.76867338691552,124.34497470427321,1187.407042369306,4.1973563707686505,-1.0,0.0,1.0
0.17500000000000002,-4.666021276310279,0.0,4.666021276310279,-50.205323388451646,-34.033520988515704,49.526122171140514,123.8512586042387,1182.6924009010334,3.75732190486041,-1.0,0.0,1.0
0.17550000000000002,-4.124218423125897,0.0,4.124218423125897,-49.77975663699493,-39.559396306689436,49.30780429674885,123.36104343847235,1178.0111908924139,3.3127049910969584,-1.0,0.0,1.0
0.176,-4.757290707009943,0.0,4.757290707009943,-48.500104099230526,-43.91344180907947,49.10378214994343,122.86451848176019,1173.26972681866,3.7792038479374566,1.0,0.0,-1.0
0.1765,-0.79041391375578,-3.938067471682191,4.728481385437971,-46.046653007492225,-46.880482220219264,48.88970922127022,122.3295747312073,1168.1613902880633,3.696477309702617,0.0,-1.0,1.0
0.177,0.0,-4.1599687729325385,4.1599687729325385,-42.31355418701987,-48.52656487047185,48.68861097892391,121.82405984627007,1163.334078723406,3.3196406054679177,0.0,1.0,-1.0
0.1775,0.0,-5.073264814798884,5.073264814798884,-37.38685921120504,-49.09471006360343,48.499572785190146,121.32846865884086,1158.6015314894776,4.080836482775773,0.0,1.0,-1.0
0.178,0.0,-5.987957761152918,5.987957761152918,-31.570198080273418,-48.94728737340261,48.32860549498516,120.83216611197528,1153.8621912733122,4.8206032914659,0.0,1.0,-1.0
0.1785,0.0,-5.577620543468879,5.577620543468879,-25.30335787849299,-48.45977571851344,48.17597044646841,120.33360523621796,1149.1012856047723,4.4791936715033245,0.0,-1.0,1.0
0.179,0.0,-5.177109552478539,5.177109552478539,-19.03778589652726,-47.92877149866598,48.02552740409103,119.83435059447373,1144.3337549590622,4.145438390465589,0.0,-1.0,1.0
0.1795,0.0,-4.802766633844597,4.802766633844597,-13.113359415635223,-47.52295063789452,47.84653052708634,119.33437338704894,1139.5593243193657,3.8382684638619846,0.0,-1.0,1.0
0.18,0.0,-4.450094295158004,4.450094295158004,-7.677362875330903,-47.28541561025513,47.61073478616989,118.83450049905919,1134.7858898568943,3.5536550053907137,0.0,-1.0,1.0
0.1805,0.0,-4.115485099963084,4.115485099963084,-2.668914131441869,-47.17130532158981,47.313166044844024,118.33542345229307,1130.0200551183025,3.285993515231825,0.0,-1.0,1.0
0.181,0.0,-4.396588830306917,4.396588830306917,2.127696921766083,-47.10022229554532,46.98586119682297,117.83663623371531,1125.25698803504,3.5104347594361744,0.0,1.0,-1.0
0.1815,0.0,-4.984390118583199,4.984390118583199,6.981584790682492,-47.00187796772129,46.694044447868436,117.33588565058747,1120.4751722013832,3.980172197536613,0.0,1.0,-1.0
0.182,0.0,-5.539347099150202,5.539347099150202,12.10199541332173,-46.84287393948356,46.51272120564595,116.8335983698208,1115.6786819862114,4.426201472625301,0.0,1.0,-1.0
0.1825,0.0,-5.965019927893061,5.965019927893061,17.55074696840218,-46.6274361634467,46.48520978191786,116.33087932420187,1110.8780687204096,4.774474256788321,0.0,-1.0,1.0
0.183,0.0,-5.703622451203507,5.703622451203507,23.207331995272405,-46.38281287349065,46.58178718297794,115.83037304151954,1106.0985857841629,4.577685162588276,0.0,-1.0,1.0
0.1835,0.0,-5.447602238530793,5.447602238530793,28.79407244683085,-46.13836118805621,46.67332479486901,115.33349200016127,1101.3537213525142,4.383818954529648,0.0,-1.0,1.0
0.184,0.0,-5.2014121499706825,5.2014121499706825,33.94961685891795,-45.91077091373508,46.535430659010316,114.8391167020453,1096.632785006253,4.18716905779329,0.0,-1.0,1.0
0.1845,0.0,-4.979632061859498,4.979632061859498,38.32502337471379,-45.70033785348789,45.886833338597555,114.34337499113846,1091.8988003789934,3.9886037486515367,0.0,-1.0,1.0
0.185,0.0,-4.808495050592712,4.808495050592712,41.671761661040534,-45.49647119514722,44.45349109403919,113.83904989887772,1087.082850497479,3.7994339275737223,0.0,-1.0,1.0
0.1855,5.876613425999514,-5.876613425999514,0.0,43.896283867925455,-45.28664174139775,42.04054273139678,113.31412153768858,1082.0701538903363,4.625139134413619,1.0,-1.0,0.0
0.186,5.749745065950551,-5.749745065950551,0.0,45.09129450843658,-45.08472368776169,38.608487014940984,112.80549548957552,1077.2131329057868,4.596310786459622,1.0,-1.0,0.0
0.1865,5.60100229348487,-5.60100229348487,0.0,45.465476619608935,-44.89474233442074,34.25898731052518,112.30760059915534,1072.4585869287528,4.506442937977981,1.0,-1.0,0.0
0.187,5.457276042475087,-5.457276042475087,0.0,45.294440934323525,-44.72123071531842,29.233757178037973,111.81325338025152,1067.7379187192164,4.393400187277422,1.0,-1.0,0.0
0.1875,5.334048351112794,-5.334048351112794,0.0,44.85429341161236,-44.562807765970504,23.860020650707547,111.3181646855329,1063.0101699372135,4.2846119718640825,1.0,-1.0,0.0
0.188,5.236928196842453,-5.236928196842453,0.0,44.36573204276171,-44.406997704579254,18.471891343566554,110.82065892301561,1058.2593398579336,4.195033814475664,1.0,-1.0,0.0
0.1885,5.165046673509017,-5.165046673509017,0.0,43.963434904506826,-44.23194231535478,13.332197992839573,110.32085303866924,1053.4865452331253,4.129167126442064,1.0,-1.0,0.0
0.189,5.114874739917133,-5.114874739917133,0.0,43.694159569424336,-44.01549925431041,8.577351957012695,109.81964602026504,1048.7003707636425,4.0850971080482825,1.0,-1.0,0.0
0.1895,5.083155049066202,-5.083155049066202,0.0,43.53777095929212,-43.74819173302806,4.2002084413202825,109.31790243903811,1043.9090724966286,4.058695529943023,1.0,-1.0,0.0
0.19,5.068208517193688,-5.068208517193688,0.0,43.43975639226869,-43.44381348415723,0.07399859781671268,108.81606997640432,1039.1169254746999,4.046682157767497,1.0,-1.0,0.0
0.1905,5.069631418047786,-5.069631418047786,0.0,43.34287909516385,-43.141453419574965,-3.9916318021186004,108.31424927808689,1034.324890793717,4.047885594073109,1.0,-1.0,0.0
0.191,5.087050971695601,-5.087050971695601,0.0,43.20879078235222,-42.895439967845185,-8.180070151692622,107.81253783149563,1029.5338993898702,4.062761340332114,1.0,-1.0,0.0
0.1915,5.118931672212199,-5.118931672212199,0.0,43.02580371276593,-42.75425395979513,-12.603274434157349,107.31136804051124,1024.7480804160602,4.09185216890065,1.0,-1.0,0.0
0.192,5.162328251207712,-5.162328251207712,0.0,42.804428094833305,-42.7341162222359,-17.260929833557533,106.8115811527874,1019.9754671956345,4.1341775782116645,1.0,-1.0,0.0
0.1925,5.214030291666896,-5.214030291666896,0.0,42.56593900152531,-42.79591266659618,-22.032901081628218,106.31410562728439,1015.2249258585719,4.186455576372143,1.0,-1.0,0.0
0.193,5.272929338122248,-5.272929338122248,0.0,42.330269260120055,-42.83417350644928,-26.70470389686376,105.81928513098502,1010.4997381828181,4.243707451555871,1.0,-1.0,0.0
0.1935,5.342894778134271,-5.342894778134271,0.0,42.10810583317633,-42.68385487039936,-31.01680939569304,105.32605803060022,1005.7897663172306,4.301257756549489,1.0,-1.0,0.0
0.194,5.435154160259597,-5.435154160259597,0.0,41.899206097152145,-42.14563481193925,-34.72320215535474,104.83127379291275,1001.0649248857158,4.35744649652713,1.0,-1.0,0.0
0.1945,5.569221590923886,-5.569221590923886,0.0,41.695981663239735,-41.024906007647076,-37.64375719709424,104.3294209900918,996.2725836293071,4.415733829106981,1.0,-1.0,0.0
0.195,4.653303945549457,-1.4581761731636302,-3.1951277723858262,41.48572029677961,-39.17173554583866,-39.694653238676416,103.80365573100534,991.251895235931,3.6318031739694234,1.0,0.0,-1.0
0.1955,4.127123621479227,0.0,-4.127123621479227,41.28213136707278,-36.54205210379838,-40.92331960922957,103.29327510775376,986.3781192930023,3.2845512758185595,1.0,0.0,-1.0
0.196,4.3015233588728705,0.0,-4.3015233588728705,41.085738424975446,-33.174095087047974,-41.45421675242142,102.79180696548846,981.5894512743245,3.454045178475136,1.0,0.0,-1.0
0.1965,4.472182654504224,0.0,-4.472182654504224,40.900990628814775,-29.204532433302248,-41.470873592391264,102.29633502353447,976.8580427508052,3.601126299436868,1.0,0.0,-1.0
