t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0.007,0,50.1467918424091,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0071,0,50.8014248628031,0,0.12,0.55,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0072,0,51.4544213006461,0,0.12,0.600000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0073,0,52.1057852473945,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0074,0,52.755520784276,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0075,0,53.4036319823153,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0076,0,54.0501229023595,0,0.12,0.8,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0077,0,54.6949975951036,0,0.12,0.85,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0078,0,55.3382601011159,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0079,0,55.9799144508631,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.008,0,56.6199646647359,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0081,0,57.2584147530741,0,0.12,0.0499999999999998,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0082,0,57.8952687161914,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0083,0,58.5305305444009,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0084,0,59.1642042180399,0,0.12,0.2,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0085,0,59.7962937074948,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0086,0,60.4268029732261,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0087,0,61.055735965793,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0088,0,61.6830966258785,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0089,0,62.3088888843138,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.009,0,62.933116662103,0,0.12,0.500000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0091,0,63.5557838704478,0,0.12,0.55,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0092,0,64.1768944107717,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0093,0,64.7964521747447,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0094,0,65.4144610443079,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0095,0,66.0309248916971,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0096,0,66.6458475794679,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0097,0,67.2592329605192,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0098,0,67.8710848781179,0,0.12,0.899999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0099,0,68.4814071659226,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.01,0,69.0902036480078,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0101,0,69.6974781388878,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0102,0,70.3032344435406,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0103,0,70.9074763574317,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0104,0,71.5102076665381,0,0.12,0.200000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0105,0,72.1114321473718,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0106,0,72.7111535670034,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0107,0,73.3093756830858,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0108,0,73.9061022438781,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0109,0,74.5013369882684,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.011,0,75.0950836457978,0,0.12,0.500000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0111,0,75.6873459366833,0,0.12,0.55,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0112,0,76.2781275718416,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0113,0,76.867432252912,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0114,0,77.4552636722797,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0115,0,78.041625513099,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0116,0,78.6265214493162,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0117,0,79.209955145693,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0118,0,79.7919302578287,0,0.12,0.899999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0119,0,80.3724504321842,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.012,0,80.9515193061037,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0121,0,81.5291405078384,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0122,0,82.1053176565688,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0123,0,82.6800543624274,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0124,0,83.2533542265214,0,0.12,0.200000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0125,0,83.8252208409551,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0126,0,84.3956577888527,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0127,0,84.9646686443805,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0128,0,85.5322569727696,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0129,0,86.0984263303377,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.013,0,86.6631802645118,0,0.12,0.500000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0131,0,87.2265223138505,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0132,0,87.7884560080659,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0133,0,88.3489848680457,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0134,0,88.9081124058756,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
