time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,speed_rpm,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.0965,0.0,-5.161578061176207,5.161578061176207,-90.60374980035148,-139.2810298959888,137.49402422743623,343.7777825265578,3282.8360048563372,4.155579911956541,0.0,-1.0,1.0
0.097,0.0,-4.870373126165076,4.870373126165076,-40.80534658732782,-137.07871321778762,137.93829428683586,344.0352757169806,3285.2948837004346,3.8933084399482887,0.0,-1.0,1.0
0.0975,0.0,-4.6645967537735356,4.6645967537735356,2.2516936664807536,-137.51021650165617,137.38708180296743,344.29113779465183,3287.7381865651023,3.7244207141273136,0.0,-1.0,1.0
0.098,0.0,-4.436843197648499,4.436843197648499,46.22962931099901,-138.13164941909668,137.45240924486217,344.55261183164805,3290.235079693791,3.548727288884943,0.0,-1.0,1.0
0.0985,0.0,-4.06878364932404,4.06878364932404,96.30800228659427,-137.88882505002456,139.8010593116986,344.84301949828046,3293.008268633171,3.2764475346420534,0.0,-1.0,1.0
0.099,0.331729452197302,-5.645694070795805,5.313964618598503,131.47503316508096,-137.9122016430532,130.74364226508203,345.0775501869212,3295.247871737406,4.396088149222339,1.0,-1.0,0.0
0.0995,4.876793312812798,-4.876793312812798,0.0,139.918786906641,-138.02754349872598,94.75519355784434,345.16774510279816,3296.109169739621,3.927037866872694,1.0,-1.0,0.0
0.1,4.471683822060905,-4.471683822060905,0.0,137.74611530351294,-138.49430832630537,44.56610978996686,345.4416075704342,3298.724363666718,3.575886072417738,1.0,-1.0,0.0
0.1005,4.163718013786024,-4.163718013786024,0.0,138.0001754238649,-138.03458752015186,0.6277617160309428,345.71574487684313,3301.342182110771,3.324496879106828,1.0,-1.0,0.0
0.101,5.913994802911824,-5.913994802911824,0.0,138.7119948230892,-137.91279738189732,-43.18237769674374,345.9746458989358,3303.8145047570265,4.72854760558015,1.0,-1.0,0.0
0.1015,5.4793779367060065,-5.4793779367060065,0.0,138.44566631814837,-140.31501091304463,-93.70520901491405,346.1944114177906,3305.91311087584,4.412073257296174,1.0,-1.0,0.0
