time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_speed_feedback_rad_s
0.28659,60.0,0.0,0,0.88,-4.578608654907921,8.795650358001676,-4.217041703093756,25.2498773290452,16.721635340495972,-24.91702968940083,62.30491758910581,2.1915526028427164,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4348581985444557,56.171920598784325
0.2866,60.0,0.0,0,0.88,-4.528590748574715,8.688467167609085,-4.1598764190343696,25.254931638393877,16.75597677798666,-24.921198126314383,62.31580780421546,2.1645167333264395,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4354813022840722,56.171920598784325
0.28661,60.0,0.0,0,0.88,-4.523663322626306,8.6714424341343,-4.147779111507995,25.259929545858412,16.79027841488985,-24.925332730575033,62.326610630723074,2.1614088908910007,0.0,1.0,-1.0,0.0,48.0,-48.0,2.436104514377195,56.171920598784325
0.28662,60.0,0.0,0,0.88,-4.5299727151853855,8.676869014487496,-4.14689629930211,25.264910857779295,16.8245664728571,-24.9294730080744,62.3374248450053,2.164271982190057,0.0,1.0,-1.0,0.0,48.0,-48.0,2.436727834542644,56.171920598784325
0.28663,60.0,0.0,0,0.88,-4.536249811758127,8.68220874125169,-4.145958929493563,25.269876506913945,16.85884145662632,-24.933620103490714,62.34825330206792,2.1671059872762157,0.0,1.0,-1.0,0.0,48.0,-48.0,2.437351262921572,56.171920598784325
0.28664,60.0,0.0,0,0.88,-4.542494642838523,8.687461737527654,-4.144967094689131,25.274826209164964,16.89310306360731,-24.937773961376543,62.35909585624407,2.169910811985342,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4379747996556778,56.171920598784325
0.28665,60.0,0.0,0,0.88,-4.548707238501496,8.692628126690165,-4.143920888188669,25.279759679484542,16.927350990506806,-24.941934525994437,62.36995236139842,2.172686363101315,0.0,1.0,-1.0,0.0,48.0,-48.0,2.438598444885202,56.171920598784325
0.28666,60.0,0.0,0,0.88,-4.554887628401725,8.697708032388501,-4.142820403986776,25.28467663188015,16.961584933336603,-24.946101741319033,62.380822670931956,2.175432548361286,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4392221987489218,56.171920598784325
0.28667,60.0,0.0,0,0.88,-4.56103584177246,8.702701578546897,-4.141665736774437,25.289576779420344,16.995804587421475,-24.95027555103905,62.39170663778666,2.178149276460873,0.0,1.0,-1.0,0.0,48.0,-48.0,2.439846061384143,56.171920598784325
0.28668,60.0,0.0,0,0.88,-4.56715190742449,8.707608889365108,-4.140456981940618,25.29445983424076,17.03000964740822,-24.954455898559495,62.40260411445062,2.1808364570594256,0.0,1.0,-1.0,0.0,48.0,-48.0,2.440470032926708,56.171920598784325
