time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,duty_cmd,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_speed_feedback_rad_s,hall_timeout,hall_enable,hall_fault,hall_edge_count,gate_ah,gate_al,gate_bh,gate_bl,gate_ch,gate_cl,gate_all_off
0.00021,60.0,0.0,0.0,0.49007999999999996,0.8386272989585789,-0.8386272989585789,0.0,2.320596662846501e-08,-0.008351728258188942,0.00835172698584871,0.020920000838729465,0.334799545466152,1.0,-1.0,0.0,48.0,-24.012527579511964,-23.98747242048804,1.6168454747916962e-06,0.49007999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00022,60.0,0.0,0.0,0.49056,0.9219163916368266,-0.9219163916368266,0.0,2.8544415760177548e-08,-0.00905321942704237,0.009053217862004847,0.02267714540130727,0.368050632243993,1.0,-1.0,0.0,48.0,-24.013579813303316,-23.986420186696684,1.8346926597983727e-06,0.49056,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00023,60.0,0.0,0.0,0.49104,1.0050904801251306,-1.0050904801251306,0.0,3.495265223173098e-08,-0.009821037688317876,0.009821035771928598,0.024600430704863795,0.40125584525253066,1.0,-1.0,0.0,48.0,-24.01473153713976,-23.98526846286024,2.0709421852764554e-06,0.49104,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00024,60.0,0.0,0.0,0.49151999999999996,1.0881496048198067,-1.0881496048198067,0.0,4.2614343799566307e-08,-0.010655091498397311,0.010655089161931653,0.026689627431826797,0.43441520507158665,1.0,-1.0,0.0,48.0,-24.015982613603953,-23.98401738639604,2.327254311962121e-06,0.49151999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00025,60.0,0.0,0.0,0.492,1.164301008643125,-1.164301008643125,0.0,5.173482324211797e-08,-0.011555071781506908,0.01155506894498223,0.028943961373134625,0.4648168850013242,0.0,-1.0,0.0,0.0,-0.017332578968324075,0.017332578968324075,2.6052868618994096e-06,0.492,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00026,60.0,0.0,0.0,0.49248,1.1626902843246563,-1.1626902843246563,0.0,6.234397901103113e-08,-0.012482256459357105,0.01248225304115204,0.03126643871336395,0.46417409195626336,0.0,-1.0,0.0,0.0,-0.01872335009884113,0.01872335009884113,2.90634154063629e-06,0.49248,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00027,60.0,0.0,0.0,0.49295999999999995,1.16108012892669,-1.16108012892669,0.0,7.444023584568503e-08,-0.013408158336761322,0.013408154255340865,0.033585702701760395,0.46353154434904664,0.0,-1.0,0.0,0.0,-0.02011219620360366,0.02011219620360366,3.230604924993643e-06,0.49295999999999995,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00028,60.0,0.0,0.0,0.49344,1.1594705439262636,-1.1594705439262636,0.0,8.813144859082549e-08,-0.014332777907081406,0.014332773074997071,0.035901754566725515,0.4628892426644532,0.0,-1.0,0.0,0.0,-0.021499117962813508,0.021499117962813508,3.5780448875931244e-06,0.49344,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00029,60.0,0.0,0.0,0.49391999999999997,1.1578615307973394,-1.1578615307973394,0.0,1.0352496276012218e-07,-0.015256115664631928,0.015256109988549687,0.0382145955390823,0.46224718738624804,0.0,-1.0,0.0,0.0,-0.022884116058384307,0.022884116058384307,3.948629313352524e-06,0.49391999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0003,60.0,0.0,0.0,0.49439999999999995,1.1562530910108089,-1.1562530910108089,0.0,1.207276155405815e-07,-0.016178172104678132,0.016178165485406258,0.04052422685206995,0.46160537899718307,0.0,-1.0,0.0,0.0,-0.024267191173937608,0.024267191173937608,4.342326099509938e-06,0.49439999999999995,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
