time_s,mechanical_angle_rad,speed_rad_s,hall_a,hall_b,hall_c,hall_code,hall_transition_class,hall_direction,hall_legal_event,speed_raw_rad_s,speed_filtered_rad_s,timeout,legal_edge_count
0.1998,-0.5173998487867163,373.46664062901544,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.1999,-0.4800531847238519,373.46664062901544,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2,-0.44270652066097765,373.46664062901544,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2001,-0.4053598565986278,373.46664044880396,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2002,-0.36801319656858117,373.46650325521273,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2003,-0.33066657154476536,373.46591310225824,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2004,-0.293320028493912,373.464895119967,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2005,-0.25597359738356806,373.46373440627326,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2006,-0.2186272735071331,373.46281617144996,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2007,-0.18128101364502258,373.46250467288735,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2008,-0.14393476317776105,373.46250467288735,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2009,-0.10658851271051004,373.46250467288735,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.201,-0.06924226224324878,373.46250467288735,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2011,-0.03189601177599776,373.46250467288735,1.0,0.0,0.0,4.0,0.0,0.0,0.0,372.66816768562103,373.3440663948349,0.0,71.0
0.2012,0.005450238691253244,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2013,0.04279648915851462,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2014,0.0801427396257656,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2015,0.11748899009302685,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2016,0.15483524056027798,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2017,0.19218149102752916,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2018,0.2295277414947907,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2019,0.2668739919620418,373.46250467288735,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.202,0.30422024197844033,373.46248003935943,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2021,0.3415664792759114,373.4621984111598,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2022,0.3789126656180849,373.46144597719774,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
0.2023,0.4162587555941216,373.46032386800056,1.0,0.0,1.0,5.0,0.0,0.0,0.0,373.9991254273567,373.5078311529653,0.0,72.0
