time_s,speed_target_rad_s,load_torque_Nm,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.08922,200.0,0.0,0.88,5.952608165250062,-7.30748413210444,1.3548759668543773,-23.51779409463611,-4.491955868938013,23.689661363140456,59.10915233958881,-1.2700362144747879,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9397082967868495
0.08923,200.0,0.0,0.88,5.965847948491513,-7.343038017561186,1.3771900690696728,-23.51528061042365,-4.517538940628103,23.687377414010303,59.1028261998249,-1.2604153177431874,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9391172369342388
0.08924,200.0,0.0,0.88,5.979031105374629,-7.378483068110785,1.399451962736156,-23.51279340127481,-4.543137512652033,23.68510936723234,59.096548230004196,-1.2507682653137655,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9385262401022859
0.08925,200.0,0.0,0.88,5.992157775362905,-7.41381940800441,1.4216616326415052,-23.51033254431218,-4.568751717283645,23.682857278381288,59.09031856048345,-1.2410952258744685,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.937935305808638
0.08926,200.0,0.0,0.88,6.0052280978199795,-7.44904716103907,1.443819063219091,-23.507898116098996,-4.594381686194999,23.680621202850244,59.08413732077599,-1.2313963681090665,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9373444335696427
0.08927,200.0,0.0,0.88,6.018242212008878,-7.48416645055901,1.465924238550132,-23.505490192637616,-4.620027550454107,23.67840119584951,59.07800463955176,-1.2216718606995052,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9367536229003601
0.08928,200.0,0.0,0.88,6.031200257091466,-7.519177399457678,1.487977142366212,-23.50310884936796,-4.645689440522974,23.67619731240546,59.07192064463726,-1.2119218723280971,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9361628733145645
0.08929,200.0,0.0,0.88,6.044102372127666,-7.55408013017907,1.509977758051404,-23.500754161166068,-4.671367486255279,23.674009607359388,59.0658854630156,-1.20214657167986,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9355721843247569
0.0893,200.0,0.0,0.88,6.113248178656317,-7.532575214886026,1.4193270362297095,-23.498354568464794,-4.697047471526948,23.67176597267927,59.05971917957118,-1.26435468195426,0.0,-1.0,0.0,0.0,0.0,0.0,-0.9349815560423429
0.08931,200.0,0.0,0.88,6.13721523661807,-7.556085053205533,1.4188698165874623,-23.49588444069869,-4.722723999568839,23.669440566478357,59.053357317903675,-1.2688548860152975,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9343909906699327
0.08932,200.0,0.0,0.88,6.149857198475258,-7.590756140764266,1.440898942289008,-23.493438495509775,-4.748415956545383,23.66712878535407,59.047037879274335,-1.2589163843518407,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9338004887353575
0.08933,200.0,0.0,0.88,6.1624433492526265,-7.6253194544730025,1.4628761052203763,-23.491019673236114,-4.774124042934968,23.664833572766085,59.04076819573224,-1.2489528794368052,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9332100497464962
0.08934,200.0,0.0,0.88,6.174973829330137,-7.659775115875471,1.4848012865453344,-23.488628046315572,-4.799848385665661,23.662554983496737,59.03454839186875,-1.2389645412448056,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9326196732051766
0.08935,200.0,0.0,0.88,6.18744877898104,-7.694123246073107,1.5066744670920666,-23.486263686609128,-4.825589111045419,23.660293072133346,59.02837859142528,-1.2289515397613149,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9320293586119812
0.08936,200.0,0.0,0.88,6.19986833837108,-7.7283639657264205,1.5284956273553407,-23.483926665399416,-4.85134634475991,23.658047893067078,59.02225891729329,-1.2189140449848457,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9314391054662607
0.08937,200.0,0.0,0.88,6.2122326475578165,-7.762497395056729,1.550264747498913,-23.48161705338913,-4.877120211870538,23.655819500491734,59.01618949151421,-1.2088522269290047,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.93084891326614
