time_s,mechanical_angle_rad,mechanical_angle_unwrapped_rad,electrical_angle_rad,electrical_angle_wrapped_rad,speed_rad_s,ia_A,ib_A,ic_A
0.002,0.19999999999999982,0.19999999999999982,0.19999999999999982,0.19999999999999982,100.0,0.0,0.0,0.0
0.0021000000000000003,0.20999999999999983,0.20999999999999983,0.20999999999999983,0.20999999999999983,100.0,0.0,0.0,0.0
0.0022,0.21999999999999978,0.21999999999999978,0.21999999999999978,0.21999999999999978,100.0,0.0,0.0,0.0
0.0023,0.22999999999999973,0.22999999999999973,0.22999999999999973,0.22999999999999973,100.0,0.0,0.0,0.0
0.0024000000000000002,0.23999999999999974,0.23999999999999974,0.23999999999999974,0.23999999999999974,100.0,0.0,0.0,0.0
0.0025,0.24999999999999972,0.24999999999999972,0.24999999999999972,0.24999999999999972,100.0,0.0,0.0,0.0
0.0026000000000000003,0.25999999999999973,0.25999999999999973,0.25999999999999973,0.25999999999999973,100.0,0.0,0.0,0.0
0.0027,0.26999999999999974,0.26999999999999974,0.26999999999999974,0.26999999999999974,100.0,0.0,0.0,0.0
0.0028,0.27999999999999975,0.27999999999999975,0.27999999999999975,0.27999999999999975,100.0,0.0,0.0,0.0
0.0029000000000000002,0.28999999999999976,0.28999999999999976,0.28999999999999976,0.28999999999999976,100.0,0.0,0.0,0.0
0.003,0.29999999999999977,0.29999999999999977,0.29999999999999977,0.29999999999999977,100.0,0.0,0.0,0.0
0.0031000000000000003,0.3099999999999998,0.3099999999999998,0.3099999999999998,0.3099999999999998,100.0,0.0,0.0,0.0
0.0032,0.3199999999999998,0.3199999999999998,0.3199999999999998,0.3199999999999998,100.0,0.0,0.0,0.0
0.0033,0.3299999999999998,0.3299999999999998,0.3299999999999998,0.3299999999999998,100.0,0.0,0.0,0.0
0.0034000000000000002,0.3399999999999998,0.3399999999999998,0.3399999999999998,0.3399999999999998,100.0,0.0,0.0,0.0
0.0035,0.3499999999999998,0.3499999999999998,0.3499999999999998,0.3499999999999998,100.0,0.0,0.0,0.0
0.0036000000000000003,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,100.0,0.0,0.0,0.0
0.0037,0.36999999999999983,0.36999999999999983,0.36999999999999983,0.36999999999999983,100.0,0.0,0.0,0.0
0.0038,0.37999999999999984,0.37999999999999984,0.37999999999999984,0.37999999999999984,100.0,0.0,0.0,0.0
0.0039000000000000003,0.38999999999999985,0.38999999999999985,0.38999999999999985,0.38999999999999985,100.0,0.0,0.0,0.0
0.004,0.40000000000000024,0.40000000000000024,0.40000000000000024,0.40000000000000024,100.0,0.0,0.0,0.0
0.0041,0.4100000000000007,0.4100000000000007,0.4100000000000007,0.4100000000000007,100.0,0.0,0.0,0.0
0.004200000000000001,0.42000000000000115,0.42000000000000115,0.42000000000000115,0.42000000000000115,100.0,0.0,0.0,0.0
0.0043,0.43000000000000155,0.43000000000000155,0.43000000000000155,0.43000000000000155,100.0,0.0,0.0,0.0
0.0044,0.440000000000002,0.440000000000002,0.440000000000002,0.440000000000002,100.0,0.0,0.0,0.0
0.0045000000000000005,0.45000000000000245,0.45000000000000245,0.45000000000000245,0.45000000000000245,100.0,0.0,0.0,0.0
0.0046,0.46000000000000285,0.46000000000000285,0.46000000000000285,0.46000000000000285,100.0,0.0,0.0,0.0
0.0047,0.4700000000000033,0.4700000000000033,0.4700000000000033,0.4700000000000033,100.0,0.0,0.0,0.0
0.0048000000000000004,0.48000000000000376,0.48000000000000376,0.48000000000000376,0.48000000000000376,100.0,0.0,0.0,0.0
0.0049,0.49000000000000415,0.49000000000000415,0.49000000000000415,0.49000000000000415,100.0,0.0,0.0,0.0
0.005,0.5000000000000047,0.5000000000000047,0.5000000000000047,0.5000000000000047,100.0,0.0,0.0,0.0
0.0051,0.5100000000000052,0.5100000000000052,0.5100000000000052,0.5100000000000052,100.0,0.0,0.0,0.0
0.005200000000000001,0.5200000000000058,0.5200000000000058,0.5200000000000058,0.5200000000000058,100.0,0.0,0.0,0.0
0.0053,0.530000000000006,0.530000000000006,0.530000000000006,0.530000000000006,100.0,0.0,0.0,0.0
