time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.1125,9.325,3.0004173337191014,-1.7548489714418591,4.528336335737727,-1.5279190020186255,-1.5279190020186255,0.0,26.057303391822092,17.9806808249776,-44.03798421679969,-22.107763175594194,22.401964207487545,14.79512452476073,55.27974505110624,-14.920719761968178,0.0,1.0,-1.0,-48.0,48.0,0.0
0.113,9.37,3.0297833710485325,-1.7281593685721264,4.55502593860746,-1.5252425675589274,-1.5252425675589274,0.0,26.104133282265696,19.41760684906391,-45.52174013132961,-20.56868986253332,20.854407709918696,14.855211811876194,51.445752608683016,-15.710144809729991,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1135,9.415,3.059290780047374,-1.703430823694843,4.579754483484743,-1.5204637034373691,-1.5204637034373691,0.0,25.871916862185515,21.02430241730582,-46.89621927949133,-18.96623854605365,19.201689823884113,14.575520362323342,47.446337342515235,-16.239980897429458,0.0,1.0,-1.0,-48.0,48.0,0.0
0.114,9.46,3.0889395607156285,-1.6807293709652875,4.602455936214299,-1.5135163754986705,-1.5135163754986705,0.0,25.350365814201623,22.78424654727499,-48.13461236147661,-17.326504726438085,17.480537074304713,14.001110918105667,43.3489886161543,-16.491513092040275,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1145,9.505,3.118729713053294,-1.6600863846351936,4.623098922544393,-1.5043692094910988,-1.5043692094910988,0.0,24.538109027716313,24.67894177051902,-49.217050798235334,-15.676983854667371,15.732511931751034,13.189372436881502,39.22434657243003,-16.45824246465566,0.0,1.0,-1.0,-48.0,48.0,0.0
0.115,9.55,3.1486612370603706,-1.6414972280288764,4.641688079150709,-1.4930268420903388,-1.4930268420903388,0.0,22.78422220344979,26.02942412429447,-48.81364632774426,-14.050854066597823,14.005074781828473,12.207787518626784,35.156718336008915,-15.6869127237785,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1155,9.595,3.178734132736859,-1.624848284524602,4.658337022654984,-1.4796028899181253,-1.4796028899181253,0.0,18.75628602253515,25.445166343270884,-44.201452365806034,-12.606541108641851,12.466590788860744,11.237524852417643,31.543293065434295,-13.186712403277628,-1.0,1.0,0.0,-48.0,0.0,48.0
0.116,9.64,3.208948400082759,-1.609846025592456,4.67333928158713,-1.4643908815043711,-1.4643908815043711,0.0,14.71378004478468,25.08169531298172,-39.7954753577664,-11.42082544028271,11.195966225657525,10.393239126137313,28.57660950876996,-10.527266759587848,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1165,9.685,3.23930403909807,-1.596158869431795,4.687026437747791,-1.4477223986497214,-1.4477223986497214,0.0,10.711887390217658,24.886985518281936,-35.598872908499594,-10.505399139484394,10.202379695453905,9.723452501212602,26.286116427916692,-7.7900486830264075,-1.0,1.0,0.0,-48.0,0.0,48.0
0.117,9.73,3.2698010497827927,-1.5834454219243104,4.699739885255276,-1.4299388354724836,-1.4299388354724836,0.0,6.805497826888708,24.813865561493873,-31.61936338838258,-9.86429230100006,9.484322562266058,9.260211524719994,24.68197672593125,-5.047841566872998,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1175,9.774999999999999,3.3004394321369266,-1.5713635747566657,4.711821732422921,-1.4113823002859944,-1.4113823002859944,0.0,3.0470001277266867,24.820352192800506,-27.867352320527193,-9.494718299270414,9.031494409754009,9.021823117774723,23.757246216032147,-2.3647462622076034,-1.0,1.0,0.0,-48.0,0.0,48.0
