time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.2735,25.0,24.11172361630166,-2.3575534742294995,10.208817140129673,1.336535861812814,13.902906476171987,8.0,-32.865190939257495,-7.2435232731398855,40.10871421239738,-10.701782635921731,10.651298961732337,-5.403628056122566,26.600728530454727,2.1740240806637114,0.0,-1.0,1.0,48.0,-48.0,0.0
0.274,25.0,24.19026343264141,-2.3447252662849203,10.221645348074253,1.4022474702079832,13.968618084567156,8.0,-26.5075423742895,-14.248202410693244,40.755744784982745,-9.841943479660607,9.81290622890289,-4.706508572198515,24.501197516932514,-2.8875242731322937,0.0,-1.0,1.0,48.0,-48.0,0.0
0.2745,25.0,24.268803248981154,-2.3332527828198613,10.23311783153931,1.4693148030826708,14.035685417441844,8.0,-20.712758731843795,-20.560308285366286,41.27306701721008,-8.503857990797837,8.49195750089785,-3.8632006950469737,21.19868141669819,-7.448814546297939,0.0,-1.0,1.0,48.0,-48.0,0.0
0.275,25.0,24.347343065320896,-2.3237061658148725,10.2426644485443,1.538308002417423,14.104678616776596,8.0,-15.514239677606994,-26.141419928915404,41.6556596065224,-6.739500900554725,6.738469490374536,-2.927611351138591,16.818663937679272,-11.507840989498835,0.0,-1.0,1.0,48.0,-48.0,0.0
0.2755,25.0,24.42588288166064,-2.316592843839755,10.249777770519417,1.609734496782051,14.176105111141224,8.0,-10.936914590001226,-30.966621786216958,41.903536376218185,-4.599141843145912,4.6025416366827745,-1.9297900636293677,11.48623549127718,-15.069321263166543,0.0,-1.0,1.0,48.0,-48.0,0.0
0.276,25.0,24.50442269800039,-2.3123580992122514,10.254012515146922,1.684039568494295,14.250410182853468,8.0,-6.996650114960659,-35.022102051465914,42.01875216642657,-2.1310821115205965,2.1337518833900435,-0.875454176363038,5.324701526371891,-18.14252534217015,0.0,-1.0,1.0,48.0,-48.0,0.0
0.2765,25.0,24.58296251434013,-2.3113862120335233,10.254984402325649,1.76160749765531,14.327978112014483,8.0,-3.699768301789284,-38.30286797808237,42.00263627987165,0.6184320385820997,-0.6192784349134072,0.2528063160463025,-1.5453643321441326,-20.73984493914317,0.0,-1.0,1.0,48.0,-48.0,0.0
0.277,25.0,24.661502330679877,-2.314001998599941,10.25236861575923,1.842763100561473,14.409133714920646,8.0,-1.04272657294959,-40.810663473929075,41.853390046878665,3.6053599073138476,-3.6091638986985966,1.493395662232822,-9.00676746926722,-22.87575876255512,0.0,-1.0,1.0,48.0,-48.0,0.0
0.2775,25.0,24.740042147019622,-2.320469565315962,10.24590104904321,1.927770483617239,14.494141097976412,8.0,0.0,-42.058425720315924,42.058425720315924,6.774378343108205,-6.776121184927097,2.897126585416334,-16.91173741280709,-24.056757912708825,0.0,-1.0,1.0,32.713875642863584,-48.0,15.286124357136416
0.278,25.0,24.818581963359367,-2.3309406678268934,10.235429946532278,2.0167814024679163,14.58315201682709,8.0,0.0,-42.33612161563051,42.33612161563051,10.024061289929229,-10.01310364672897,4.5054953534513,-24.994951559550337,-24.59141284974194,0.0,-1.0,1.0,36.777865436568064,-48.0,11.222134563431936
0.2785,25.0,24.897121779699113,-2.3454845683124983,10.220886046046674,2.1098651192932656,14.676235733652438,8.0,0.0,-42.169492598219975,42.169492598219975,13.336749259846231,-13.296013756152572,6.398867479285215,-33.19839392167029,-25.016967701515533,0.0,-1.0,1.0,40.78532239827991,-48.0,7.214677601720094
0.279,25.0,24.975661596038854,-2.3641542781277516,10.202216336231421,2.20707464544826,14.773445259807433,8.0,0.0,-41.556477446672496,41.556477446672496,16.70631956456822,-16.612340548756013,8.664652301644999,-41.4929175430909,-25.31571278921312,0.0,-1.0,1.0,44.68016368812372,-48.0,3.3198363118762746
0.2795,25.0,25.054201412378603,-2.3869867710687127,10.17938384329046,2.308446954728971,14.874817569088144,8.0,-0.0026173230348263132,-40.48772643028407,40.490343753318896,20.1212242617727,-19.947264681593037,11.38469960749774,-49.8427630701627,-25.450778693131838,0.0,-1.0,1.0,48.0,-48.0,0.0
0.28,25.0,25.132741228718345,-2.4139969150414147,10.152373699317758,2.413996915041414,14.980367529400587,8.0,-0.2504080619440856,-38.82977596508269,39.080184027026775,23.551778780728327,-23.2776496840218,14.618933033881287,-58.18946731573587,-25.249912535115413,1.0,-1.0,0.0,48.0,0.0,-48.0
0.2805,25.0,25.21128104505809,-2.4451284313106623,10.12124218304851,2.523668247650407,15.09003886200958,8.0,1.8679979637622885,-33.79579071140251,31.927792747640222,26.855739651721688,-26.490517476980788,18.32559812855522,-66.24718657943501,-23.10332603579144,1.0,-1.0,0.0,48.0,0.0,-48.0
0.281,25.0,25.289820861397835,-2.480140892808899,10.086229721550273,2.6372205254883894,15.203591139847562,8.0,3.533647692383436,-28.344080274081218,24.810432581697782,29.83643074646675,-29.456017373883363,22.356843954933282,-73.68541140181391,-20.28920103583623,1.0,-1.0,0.0,48.0,0.0,-48.0
0.2815,25.0,25.36836067773757,-2.518682441014677,10.047688173344495,2.754301890033902,15.320672504393075,8.0,4.851747460538114,-22.544308587349352,17.69256112681124,32.314689211336415,-32.10879545595621,26.50658055179854,-80.3353595177951,-16.799857612174176,1.0,-1.0,0.0,48.0,0.0,-48.0
0.282,25.0,25.44690049407732,-2.5603174079590834,10.00605320640009,2.8744766733180565,15.44084728767723,8.0,5.933178094941907,-16.494707029252545,10.561528934310639,34.065927600478595,-34.383851110146274,30.486757309913873,-86.03293724064923,-12.68418317988914,1.0,-1.0,0.0,48.0,0.0,-48.0
0.2825,25.0,25.525440310417064,-2.604532600774979,9.961838013584194,2.9972316824736978,15.56360229683287,8.0,6.894153150997699,-10.325077311914503,3.430924160916804,34.85120257350654,-36.222862600281715,33.97536965492644,-90.63517372860095,-8.06353947815633,1.0,-1.0,0.0,48.0,0.0,-48.0
0.283,25.0,25.60398012675681,-2.6507588724675086,9.915611741891663,3.1219977705059736,15.688368384865147,8.0,6.421388995130849,-5.6232719617072195,-0.7981170334236297,34.50359235181367,-37.612912882707924,36.72025478054346,-94.11320870940246,-4.2901689503180185,1.0,-1.0,0.0,48.0,-48.0,0.0
0.2835,25.0,25.68251994309655,-2.698526398262619,9.867844216096554,-3.0348801945387622,15.814675726999997,8.0,4.855305395141517,-2.2997285712616855,-2.5555768238798313,33.07640729120789,-38.705041078011966,38.72769270947943,-96.84285550592514,-1.5554637755591514,1.0,-1.0,0.0,48.0,-48.0,0.0
0.284,25.0,25.761059759436296,-2.7474895451765384,9.818881069182634,-2.907377231285097,15.942178690253662,8.0,3.6537491785333605,0.8945835764360459,-4.548332754969406,30.604942989049178,-39.53381749801193,40.01061122574768,-98.90039550013273,1.0669835200660633,1.0,-1.0,0.0,48.0,-48.0,0.0
0.2845,25.0,25.83959957577604,-2.7973215144403234,9.769049099918849,-2.779005445681567,16.070550475857193,8.0,2.879593592969837,3.8450042639212527,-6.72459785689109,27.234412003997583,-40.12098069597852,40.6645209461087,-100.3268458972211,3.4815592059702904,1.0,-1.0,0.0,48.0,-48.0,0.0
0.285,25.0,25.918139392115787,-2.847720910376198,9.718649703982974,-2.650066233405945,16.199489688132815,8.0,2.5744795582913387,6.466428698915976,-9.040908257207315,23.221398974891162,-40.49194562655854,40.8516558879694,-101.18051094413747,5.647246984672202,1.0,-1.0,0.0,48.0,-48.0,0.0
0.2855,25.0,25.996679208455532,-2.8984168838691016,9.667953730490071,-2.5208304435732964,16.328725477965463,8.0,2.7529033476555007,8.708242419321275,-11.461145766976776,18.877514647087775,-40.66591824464672,40.74650523952049,-101.52304231942732,7.576234118716329,1.0,-1.0,0.0,48.0,-48.0,0.0
0.286,25.0,26.075219024795274,-2.9491678218313773,9.617202792527795,-2.391539689271281,16.45801623226748,8.0,3.4015490441358747,10.55136766812229,-13.952916712258165,14.499688899053702,-40.65069599384117,40.488675758644156,-101.40833429906914,9.314166963295627,1.0,-1.0,0.0,48.0,-48.0,0.0
0.2865,25.0,26.15375884113502,-2.999755914514785,9.566614699844386,-2.2624117802481267,16.587144141290633,8.0,4.484216951280301,11.999492526306904,-16.483709477587205,10.310273474214569,-40.44512948692646,40.15800952788478,-100.87738043978054,10.91464194821738,1.0,-1.0,0.0,48.0,-48.0,0.0
0.287,25.0,26.232298657474765,-3.0499614011800573,9.516409213179115,-2.1336664772431115,16.715889444295648,8.0,7.786865849171884,14.90119511320079,-22.688060962372674,6.414871619488461,-39.97843434619404,39.70590688596452,-99.78564126848008,14.49732369685456,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2875,25.0,26.310838473814513,-3.0993534566366705,9.467017157722502,-2.005734605446748,16.84382131609201,8.0,12.186605173312199,18.17109483168677,-30.357700004998968,2.8423546166594393,-39.03614612751002,38.88816802644321,-97.59453366559359,19.009734753367745,1.0,0.0,-1.0,48.0,0.0,-48.0
0.288,25.0,26.38937829015426,3.135814432830296,9.418999740009882,-1.8791773713943847,16.970378550144375,8.0,16.68948638046958,20.840715936633075,-37.530202317102656,-0.37384016633084766,-37.6337731614479,37.65425049520608,-94.29339566746258,23.37094342642546,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2885,25.0,26.467918106493997,3.0897164371685713,9.372901744348157,-1.7545395593929178,17.09501636214584,8.0,21.248205124388573,22.89628075511901,-44.144485879507585,-3.224509564651261,-35.81871629328521,35.98215407461012,-89.92461667170102,27.54578456195619,1.0,0.0,-1.0,48.0,0.0,-48.0
0.289,25.0,26.546457922833746,3.0460594316079086,9.329244738787494,-1.6323427374925081,17.21721318404625,8.0,25.813181829003017,24.330811570879124,-50.14399339988214,-5.67638010261045,-33.63734569248665,33.87284556613813,-84.53837332203223,31.50603674221802,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2895,25.0,26.62499773917349,3.00533811136593,9.288523418545516,-1.5130816009107846,17.336474320627975,8.0,30.330242317845133,25.146184481336874,-55.47642679918201,-7.652159202475329,-31.122146381909417,31.34886927367877,-78.19218175321463,35.218589211774,1.0,0.0,-1.0,48.0,0.0,-48.0
0.29,25.0,26.703537555513236,2.9680159978963867,9.251201305075973,-1.3972196711014966,17.452336250437263,8.0,34.7385032742126,25.353936732878402,-60.092440007091,-9.046848337122894,-28.289727656874938,28.447188182361412,-70.9540532661999,38.630504655157054,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2905,25.0,26.78207737185298,2.934518749089734,9.21770405626932,-1.2851826059550973,17.564373315583662,8.0,38.97100147584743,24.97446623592003,-63.945467711767456,-9.764632449264028,-25.150164746022444,25.213125732447516,-62.90854674945116,41.66229707616894,1.0,0.0,-1.0,48.0,0.0,-48.0
0.291,25.0,26.860617188192723,2.9052242914326922,9.188409598612278,-1.1773483319583142,17.672207589580445,8.0,42.95865903450082,24.035300551135585,-66.9939595856364,-9.754974033353419,-21.721225543959385,21.697988897939382,-54.16287891841242,44.21424833422866,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2915,25.0,26.93915700453247,2.8804505252392096,9.163635832418796,-1.074034749425089,17.77552117211367,8.0,46.6364666933317,22.569285132274214,-69.20575182560592,-9.03289159200321,-18.03934543624529,17.95926749395068,-44.850119571573295,46.18230469766631,1.0,0.0,-1.0,48.0,0.0,-48.0
0.292,25.0,27.017696820872214,2.8604425065034746,9.14362781368306,-0.9754869143496067,17.874069007189153,8.0,49.95004233225288,20.613151739873008,-70.56319407212588,-7.679545204519753,-14.162652361050156,14.061170568831992,-35.12801345940374,47.47583064646416,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2925,25.0,27.09623663721196,2.845361254260354,9.12854656143994,-0.8818658457667404,17.96769007577202,8.0,52.860965368908815,18.20649714525647,-71.06746251416529,-5.828151418805704,-10.166527556557567,10.074053057476348,-25.17385712278121,48.03061951851624,1.0,0.0,-1.0,48.0,0.0,-48.0
0.293,25.0,27.174776453551704,2.8352757838158884,9.118461090995474,-0.7932405589825294,18.05631536255623,8.0,55.35002655053634,15.391023536122876,-70.74105008665921,-3.6436163770167496,-6.135577503033712,6.072525925065733,-15.177023979165622,47.81464024689846,1.0,0.0,-1.0,48.0,0.0,-48.0
0.2935,25.0,27.253316269891453,2.8301601387343966,9.113345445913982,-0.7095850975612884,18.13997082397747,8.0,54.63313073554655,14.994901218526856,-69.6280319540734,-1.2982333667793495,-2.1485734316877645,2.1253040059006474,-5.312184198726222,47.273386136836244,0.0,1.0,-1.0,-48.0,48.0,0.0
0.294,25.0,27.3318560862312,2.8299531852125805,9.113138492392167,-0.6308383276997284,18.21871759383903,8.0,48.312762964415654,19.470092847213976,-67.78285581162963,1.0919532413699222,1.8059279241838455,-1.786330248506197,4.464935630356234,46.80905738556848,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2945,25.0,27.410395902570936,2.8345896249300013,9.117774932109587,-0.5569349510774096,18.29262097046135,8.0,42.145437051752396,23.11893619732926,-65.26437324908166,3.3764855521274506,5.672427204379149,-5.6137029346143015,14.030443671861045,45.60217485015856,0.0,1.0,-1.0,-48.0,48.0,0.0
0.295,25.0,27.488935718910685,2.8439199872617897,9.127105294441376,-0.48772549706944873,18.36183042446931,8.0,36.141549406185796,26.006643327319885,-62.14819273350568,5.403183867998184,9.376963220158238,-9.290028955922375,23.215234483535088,43.78595811511009,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2955,25.0,27.56747553525043,2.8577186749182792,9.140903982097866,-0.4229843683861965,18.426571553152563,8.0,30.32629432829404,28.197210177299873,-58.52350450559391,7.04487313421884,12.858823894042835,-12.762056785268632,31.884067106605283,41.49747080560607,0.0,1.0,-1.0,-48.0,48.0,0.0
0.296,25.0,27.646015351590176,2.8757010548102238,9.15888636198981,-0.36242693193839487,18.487128989600365,8.0,24.735447006238907,29.752776143073213,-54.48822314931212,8.206548794545121,16.072012420435584,-15.990140880948086,39.936029502252886,38.87351908501462,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2965,25.0,27.72455516792992,2.897540503365329,9.180725810544915,-0.305726564153752,18.543829357385007,8.0,19.410791281372656,30.733199191830604,-50.14399047320326,8.83142986756675,18.987459007359025,-18.947660615597382,47.30383974104456,36.04531311680903,0.0,1.0,-1.0,-48.0,48.0,0.0
