time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0219,3,-5.535479212949235,11.509298012558347,-5.973818799609112,0.0017569009870883907,0.03659450106240701,-0.03668869992172672,-0.0917823691276005,-6.87085527182014,-1.0,1.0,0.0,-48.0,0.0,48.0
0.022,4,-6.579587073921533,11.909065779588543,-5.32947870566701,0.008284433934606,0.17239302365896522,-0.17283718708157708,-0.43237803562555444,-6.752571989787685,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0221,4,-7.050130727371357,11.17975042130787,-4.1296196939365135,0.014410232915256524,0.2992242944971246,-0.2999968135569754,-0.7504848496704897,-5.972847630377284,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0222,4,-7.514427762346926,10.45623100252381,-2.9418032401768834,0.01983658046511265,0.41057997451275274,-0.4116432409939064,-1.0297802395577604,-5.200169630377757,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0223,4,-7.972546371943216,9.73895995800364,-1.766413586060424,0.024577163558111067,0.5066036206540874,-0.5079207413629491,-1.2706246899450953,-4.434864159928169,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0224,4,-8.424554071686272,9.028378560581384,-0.6038244888951115,0.0286392054901815,0.5874454346659407,-0.5889799003162712,-1.4733949168086966,-3.677254250096385,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0225,4,-8.870517567511154,8.324916776548427,0.5456007909627273,0.03202457399140452,0.653262168760265,-0.6549775802424032,-1.6384837028084007,-2.9276594866026286,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0226,4,-9.310502651670372,7.628993138478048,1.6815095131923237,0.03473085850209757,0.7042170259540663,-0.7060768765264245,-1.7662997174861002,-2.1863957094419386,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0227,4,-9.744574125435406,6.941014635077859,2.803559490357547,0.03675241482095019,0.7404795553140456,-0.7424470670247091,-1.8572673225944345,-1.453774718483855,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0228,4,-10.172795747425443,6.261376617643652,3.9114191297817906,0.038081375369596555,0.762225542331847,-0.7642635547792855,-1.9118263628561212,-0.7301039851063871,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0229,4,-10.595230206371092,5.590462722667894,5.004767483703199,0.038708623363113266,0.7696368946386475,-0.7717078040118535,-1.9304319424567238,-0.015686369904485797,-1.0,0.0,1.0,0.0,-48.0,48.0
0.023,5,-11.011939117095364,4.928644810137992,6.083294306957373,0.03862472922852085,0.7629015232527833,-0.7649672694518131,-1.913554187575336,0.6891801534967446,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0231,5,-10.303884523416343,3.716730933898165,6.587153589518178,0.03783272930641545,0.7424458979954294,-0.7444686327094037,-1.8622616193823405,1.3608623181685655,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0232,5,-9.605410181584945,2.5221978365969644,7.083212344987981,0.036337461321631556,0.7087017647807817,-0.7106439460022387,-1.7776360931245028,2.0224567604970645,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0233,5,-8.916369201273495,1.3452630517736661,7.571106149499829,0.0341342174886591,0.6618730343745037,-0.6636969124115026,-1.6601881231351219,2.6737209238652095,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0234,5,-8.236616605832271,0.18613391092841589,8.050482694903856,0.031221131770781597,0.6021682334108418,-0.6038359971242977,-1.510439968383145,3.314427527260553,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0235,5,-7.566009382307257,-0.9549924387306774,8.521001821037935,0.027599843015054765,0.5298001862924797,-0.5312741421925409,-1.3289248765286499,3.9443642517512436,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0236,5,-6.904406546103461,-2.0779289986786336,8.982335544782094,0.023276114650873717,0.4449857045044447,-0.4462284864036701,-1.1161863436668156,4.563333426509835,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0237,5,-6.25166921904856,-3.1824988665880043,9.434168085636564,0.01826041038172364,0.34794528331235025,-0.3489200902975602,-0.8727773897775081,5.171151714597033,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0238,5,-5.607660719618299,-4.268535167942868,9.876195887561167,0.012568425452905686,0.2389028058003256,-0.2395736663697384,-0.5992598498878007,5.767649798688353,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0239,5,-4.972246664095218,-5.335880972718703,10.308127636813921,0.006221573227873375,0.11808525419139836,-0.11841731450577257,-0.29620368094635435,6.35267206689874,0.0,-1.0,1.0,48.0,-48.0,0.0
0.024,0,-4.345295077444967,-6.384389198083533,10.7296842755285,-0.000752573046931487,-0.014277571616974245,0.014317737304658995,0.03581371559871918,6.926076298834015,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0241,0,-3.167130084832732,-6.854451669599819,10.021581754432551,-0.007961088874821637,-0.15113875930882548,0.1515636674315032,0.37911458503951434,6.805580452850728,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0242,0,-2.004780947370704,-7.313470603671495,9.318251551042199,-0.0150152908338317,-0.2855767615032072,0.28637825217544516,0.7163354876996428,6.682908070379115,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0243,0,-0.8580370524039909,-7.761679480139333,8.619716532543324,-0.021890334677922556,-0.41755056865974166,0.4187192196260899,1.047372126727654,6.558239620425535,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0244,0,0.27330878063066155,-8.19930971722809,7.926000936597428,-0.028563019765787536,-0.5470226894285548,0.5485478974099796,1.372129118990343,6.431751178057052,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0245,0,1.3894603860448251,-8.62659059623507,7.237130210190245,-0.035011788634034924,-0.6739590631488407,0.6758291243432125,1.6905197747387761,6.303614400140903,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0246,0,2.4906183364859427,-9.04374919027944,6.553130853793498,-0.041216720855022544,-0.7983289719920298,0.8005311615964752,2.0024658762415233,6.173996508237147,1.0,-1.0,0.0,48.0,0.0,-48.0
