time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0321,0,16.569252556584992,-8.21080302651415,-8.358449530070843,-1.6409806151167925,-33.643172168462385,33.731092605510675,84.38180990421822,-0.38979962108688193,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0322,0,16.93736483928831,-8.057241955260185,-8.880122884028125,-1.1498013275433157,-33.64638290210599,33.70871430703214,84.35788942369892,-0.5656267866670861,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0323,0,17.288749255815162,-7.900293319436838,-9.388455936378325,-0.6603750455012077,-33.64652625140464,33.68259827233567,84.32538481418013,-0.7331982160418073,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0324,0,17.62366315321613,-7.740134698472174,-9.883528454743955,-0.17231675431863178,-33.64359766033751,33.65304306225003,84.28470394642044,-0.8927086407499774,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0325,0,17.942354741404365,-7.576933217094406,-10.36542152430996,0.31477572102035345,-33.63759656511019,33.6203526796511,84.23624522252499,-1.0443424523519855,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0326,0,18.2450628950945,-7.410845355951997,-10.834217539142502,0.8013151167287662,-33.62852803797966,33.584835450521226,84.1803980355607,-1.1882760129469405,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0327,0,18.532017078824538,-7.2420168197323935,-11.290000259092146,1.2877182810729741,-33.616404173655454,33.54680271730401,84.11754311177343,-1.324680032557744,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0328,0,18.803437390173873,-7.0705824681007625,-11.732854922073109,1.7743999286910417,-33.60124521452273,33.50656735790412,84.04805273325364,-1.4537219660555918,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0329,0,19.059534715354104,-6.896666313979331,-12.162868401374775,2.2617666472664633,-33.583080415033834,33.46444214614043,83.97229084121867,-1.5755683842122217,1.0,-1.0,0.0,48.0,-48.0,0.0
0.033,0,19.30051099051511,-6.720381592834899,-12.580129397680212,2.750211200501825,-33.561948649455566,33.420737971608446,83.89061302228896,-1.6903872759414353,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0331,0,19.526559561385934,-6.541830905750512,-12.984728655635422,3.2401071660970544,-33.53789877070298,33.37576193872782,83.80336638221256,-1.7983502417543562,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0332,0,19.73786563326211,-6.361106438141882,-13.37675919512023,3.7318039419991065,-33.510989731195004,33.329815366221794,83.7108893134059,-1.8996345418329375,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0333,0,19.934606802857235,-6.178290255055469,-13.756316547801767,4.2256221486471945,-33.481290479506754,33.28319170939597,83.61351116441915,-1.9944249658497908,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0334,0,20.116953663161965,-5.993454673065082,-14.123498990096884,4.721849449393677,-33.4488796490438,33.236174428353,83.51155182097627,-2.082915495657252,1.0,-1.0,0.0,48.0,-48.0,0.0
